stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0.82,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0.81,0.81,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,1.15,0,2.87,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0.98,0.98,0,3.93,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,3.93,0,0,0,0,0,1.96,0,5.89,0,0,0,4.91,0,0,0.98,0
 84-94,0,0,0,2.12,2.12,1.06,1.06,2.12,1.06,1.06,0,0,0,1.06,0,7.43,0,0,0,5.31,1.06,0,1.06,1.06
 96-106,0,0,2.19,1.09,1.09,1.09,1.09,10.93,0,0,0,0,0,2.19,1.09,3.28,0,0,0,2.19,0,0,0,0
108-118,0,0,1.53,0.77,0,0,0,9.96,0,0,0.77,0,0,3.06,0,2.3,0,0,0,4.6,1.53,0,0,0
120,0,0,0,0,0,0,0,9.8,1.96,0,0,1.96,0,1.96,0,5.88,0,0,0,3.92,3.92,0,0,0
