stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0.82,0.82,0.82,2.46,0,0,0,0,0.82,0.82,0
 36-46,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,0,0.57,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
