stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,15.77,0,0,0,0,0,0,0,0,21.03,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,113.29,0,15.73,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,0,6,0,2,1,0,3,3,0,5,48,0,2,0,0,1,6,19,0,0,0,0
 24-34,0,0,0,0,6.57,0,0.82,0,0,0.82,4.93,0,2.46,43.51,0,0,0,0,0,0.82,7.39,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0.81,0,1.61,17.72,0.81,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,4.02,0.57,0.57,0,0.57,0,2.87,0,0.57,4.59,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,62.82,0,0,0,0,0,3.93,0,0,3.93,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,201.24,0.98,1.96,0,0,0,7.85,1.96,0,5.89,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,162.49,0,3.19,0,0,0,4.25,0,0,2.12,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,79.78,0,2.19,0,0,1.09,5.46,2.19,1.09,3.28,0,0,0,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0,1.53,66.64,0,2.3,0,0.77,1.53,3.06,3.83,0,3.83,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,45.08,0,1.96,0,0,0,3.92,5.88,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0
