stage,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,5.75,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,3.22,0,3.22,0,0
 48-58,0,0.57,0,1.72,0.57,0.57,0,0,0,1.15,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,0.98,0.98,1.96,0,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,1.06,0,0,8.5,0,0,0,0,0,0,5.31,0,1.06
 96-106,0,0,0,0,9.84,0,0,0,0,0,0,7.65,0,1.09
108-118,0,0,0,1.53,13.79,0.77,0,0,0,0,0,7.66,0,1.53
120,0,0,0,0,9.8,0,1.96,0,0,0,0,1.96,0,1.96
