stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,3,17,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0
 24-34,4.93,19.7,0.82,0.82,0,1.64,0,0,2.46,0,0,0.82,0,0.82,0.82,0,4.1,0,0.82,0.82,51.71,0.82,0,0,0,0
 36-46,0.81,12.09,0.81,3.22,0,1.61,0,0.81,0,0,0.81,0.81,0,0,1.61,0,4.03,0,2.42,0,51.56,2.42,0,0,0,0
 48-58,0,27.54,3.44,4.59,0,0,0,0,0,0,1.15,0,0.57,2.3,3.44,0.57,6.31,0.57,0,1.15,54.51,0.57,0,0,0,0
 60-70,0,28.46,1.96,9.82,0.98,0,0.98,0,0,0,1.96,0,0,0.98,0.98,0,3.93,0,0,1.96,39.26,0,0,0,0,0
 72-82,0,41.23,0,7.85,1.96,0,0,0.98,1.96,0,1.96,0.98,0,2.94,4.91,0,4.91,0,4.91,1.96,46.14,0,0,0,0,0
 84-94,0,56.29,1.06,13.81,0,2.12,0,1.06,4.25,0,4.25,0,0,1.06,5.31,0,2.12,0,2.12,2.12,81.78,0,0,0,0,0
 96-106,0,126.77,3.28,17.49,3.28,0,0,4.37,1.09,0,4.37,1.09,0,1.09,2.19,0,5.46,0,10.93,0,109.28,0,1.09,1.09,1.09,1.09
108-118,0,91.15,1.53,24.51,1.53,0.77,0,0,3.06,0.77,2.3,0,0,0.77,2.3,0.77,3.83,0,4.6,0.77,58.21,0,1.53,0,0.77,0
120,0,109.75,0,35.28,1.96,0,0,1.96,3.92,0,1.96,0,0,0,3.92,0,1.96,0,5.88,1.96,84.27,0,0,0,0,0
