stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,2,9,1,0,0,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0.82,0.82,0.82,5.75,0.82,0.82,0.82,0,0,0,0.82,3.28,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,0,2.42,2.42,0.81,29.81,0,3.22,1.61,0,0,2.42,0,10.47,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,20.08,0,0.57,0,0,0,0,0,0,30.99,2.3,1.15,41.89,0,4.59,5.16,0,0,0,0,9.18,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,113.86,0,0.98,0,0,0,0.98,0,0,37.3,9.82,0,138.39,0,3.93,7.85,0,0.98,0,0,9.82,0,1.96,0,0,0
 72-82,0,0,0,0,0.98,0,104.06,0.98,7.85,0.98,0,0.98,0,1.96,0,48.1,23.56,0.98,123.69,0,1.96,11.78,0,0,0,0,7.85,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,1.06,105.14,0,2.12,0,1.06,1.06,0,0,0,75.4,14.87,0,49.92,0,1.06,20.18,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,2.19,1.09,73.22,0,3.28,0,0,1.09,0,1.09,1.09,55.74,3.28,1.09,49.18,0,1.09,30.6,0,1.09,0,0,1.09,1.09,0,0,1.09,0
108-118,0,0,0,0,0.77,2.3,64.34,0.77,2.3,0,0,1.53,1.53,0,0,70.47,2.3,2.3,64.34,0,2.3,19.15,0,2.3,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,60.75,0,1.96,1.96,0,5.88,0,1.96,0,23.52,0,1.96,80.35,0,0,19.6,0,0,0,0,0,0,0,0,0,0
