stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,698.43,2095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,588.44,937.83,6.13,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,159.37,12.26,0,0,67.43,30.65,0,0,0,0,0,0,0,0,0
  7-9,73.6,21.03,21.03,0,0,47.32,0,0,0,0,276.01,0,0,0,0,0,0,0,0,49.95,18.4,0,0,804.39,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,56.65,0,0,147.91,0,0,0,0,56.65,0,0,0,0,0,0,0,0,305.26,3.15,0,0,1076.26,0,3.15,12.59,22.03,0,50.35,0,0,0,0
 14-21,0,0,0,22,1,4,0,0,4,2,0,0,0,0,0,0,8,0,77,84,7,1,0,26,0,0,281,1,43,759,21,0,0,0
 24-34,0,0,0,20.52,0,0,0.82,0,4.1,0,0,0.82,0,0,0,0,13.13,0,33.66,25.45,0.82,0.82,0,0,0,0,0.82,0,4.1,55,2.46,0,0,0
 36-46,0,0,0,7.25,0,2.42,0,2.42,2.42,0,0,0,0,0,1.61,0,12.89,0.81,18.53,17.72,0,0.81,0,0,0,0,0,0,2.42,0,3.22,0,0,0
 48-58,0,0,0,15.49,0,1.72,0,1.15,1.15,0,0,0.57,0,0.57,0.57,0,1.72,0,5.74,6.31,0,1.15,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,11.78,0,2.94,0,0,2.94,0,0,0,0,0,0,0.98,8.83,0,4.91,9.82,0,0.98,0,0,0,0,0.98,0,1.96,0,2.94,0,0,0
 72-82,0,0,0,5.89,0,0.98,0,0,0.98,0,0,0.98,0.98,0,0,0,4.91,0,0.98,4.91,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0,0,0,4.25,0,0,1.06,0,3.19,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,0,1.09,0,0,3.28,0,0,0,0,0,0,0,3.28,0,0,2.19,0,4.37,0,0,1.09,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,5.36,0,0.77,0,0,0.77,0,0,1.53,0,0,0,0,1.53,0,1.53,1.53,0,3.83,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
