stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,6.13,0,0,0,0,6.13,0,0,0,18.39,0,0,18.39,0,0,0
  7-9,5.26,5.26,7.89,0,7.89,0,0,15.77,0,0,0,128.81,7.89,65.72,0,0,0,0
 10-12,0,0,3.15,0,9.44,0,0,3.15,0,0,0,100.7,0,28.32,0,0,9.44,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,1
 24-34,0,0,0,0,1.64,0,0.82,0,0,0.82,0.82,17.24,0,0,0,0,0,4.1
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,4.03,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,2.87,0,0,0,0,0,0.57,5.16,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98,2.94,0,0,0,0,0,1.96
 72-82,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
