stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,337.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,42.06,0,0,0,60.46,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,441.62,34.17,0,0,178.75,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,62.94,0,9.44,0,56.65,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,604.22,59.79,0,0,226.58,0,3.15,3.15,6.29,40.91,6.29,0,0,0,0,0,0
 14-21,0,0,0,8,33,13,0,15,0,2,0,6,7,1,0,0,0,0,0,1,0,24,0,19,163,3,1,4,4,0,1,1,25,1,9,67,0,0,2,0,0
 24-34,0,0,0.82,0.82,11.49,0.82,0,22.98,0,2.46,2.46,4.1,0,0,1.64,3.28,0,0.82,1.64,0,2.46,56.64,0,23.8,242.15,1.64,1.64,4.1,0,0,0,0,0,0.82,4.1,77.16,0,0,13.95,0,2.46
 36-46,0,0,0.81,0,7.25,0.81,0,11.28,0,1.61,4.03,16.11,0.81,0,0.81,1.61,0,0,2.42,0,0.81,68.48,0,20.95,116.02,4.83,1.61,1.61,0,0,0,0,0.81,0,0,56.4,0,0,6.45,0,0.81
 48-58,0,0,0,0,5.16,0,0,9.18,0.57,1.15,5.16,9.18,0,0.57,0.57,1.15,0.57,0,0.57,0.57,1.15,75.17,0.57,14.35,33.28,1.15,1.72,1.72,0,0.57,0,0,0,0.57,0,17.21,0,0.57,2.87,0,0.57
 60-70,0,0,0.98,0,4.91,1.96,0,6.87,0,0,6.87,17.67,1.96,0,2.94,1.96,1.96,0,0,0,0,110.91,2.94,13.74,41.22,0,0.98,2.94,0,0,0,0,0,0,0,2.94,0,1.96,5.89,0.98,0
 72-82,0,0,0,0,8.83,8.83,0,8.83,0,0,9.82,17.67,0.98,0,0,2.94,0.98,0.98,0.98,1.96,0,118.78,7.85,8.83,37.3,0,0.98,4.91,0,0,0.98,0,0,0,0,8.83,0,5.89,6.87,0.98,1.96
 84-94,0,0,1.06,0,14.87,10.62,1.06,11.68,0,4.25,3.19,22.3,4.25,0,2.12,5.31,2.12,1.06,0,3.19,0,98.77,2.12,7.43,22.3,3.19,1.06,1.06,0,0,0,0,0,1.06,0,9.56,1.06,4.25,9.56,5.31,1.06
 96-106,0,0,1.09,0,7.65,3.28,0,14.21,0,1.09,4.37,17.49,3.28,0,2.19,10.93,0,3.28,2.19,2.19,1.09,69.94,3.28,8.74,28.41,2.19,1.09,3.28,0,0,2.19,0,0,1.09,0,5.46,0,4.37,13.11,2.19,0
108-118,0,0,0.77,0,19.92,4.6,1.53,6.13,0.77,5.36,0.77,15.32,2.3,0,0.77,2.3,1.53,0.77,0,1.53,0,57.45,1.53,3.83,19.92,0,1.53,3.06,0,0.77,0.77,0,0,0,0,3.83,0,3.06,6.89,0.77,0.77
120,0,0,0,0,1.96,5.88,0,7.84,1.96,0,3.92,5.88,1.96,0,0,0,0,0,0,3.92,0,35.28,1.96,0,23.52,0,1.96,5.88,0,1.96,0,0,0,0,0,0,0,5.88,5.88,0,1.96
