stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,23.66,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,2.46,0.82,0,0.82,0,0,0,0,3.28,0.82,0,14.78,6.57,2.46,0,0,0
 36-46,0,0.81,0.81,0,0,0,0,3.22,0,0,0.81,0,0.81,0.81,0,0,0,0,26.59,4.83,3.22,0,0,0
 48-58,0,0,0,1.72,1.15,0.57,0,0.57,0,0.57,6.89,0.57,0,0,0,4.02,0,0,14.92,1.72,4.02,0,1.15,0
 60-70,0,0,0,1.96,4.91,0.98,0,0.98,0,0,15.7,0.98,1.96,0.98,0,3.93,0,0,26.5,3.93,0.98,0,0,0
 72-82,0,0.98,0.98,1.96,15.71,0,0,4.91,0,0,14.72,2.94,6.87,0,0,0.98,0,0,37.3,2.94,5.89,0,0.98,0
 84-94,0,0,3.19,2.12,11.68,3.19,0,5.31,0,1.06,27.61,2.12,4.25,0,0,4.25,0,0,105.14,3.19,2.12,3.19,0,0
 96-106,0,2.19,5.46,5.46,27.32,0,1.09,6.56,0,1.09,20.76,1.09,8.74,1.09,2.19,2.19,0,0,146.44,5.46,1.09,5.46,0,1.09
108-118,0,0,5.36,2.3,15.32,1.53,0.77,6.89,0,1.53,21.45,3.06,2.3,2.3,0,7.66,0,0,99.58,2.3,0,6.13,0.77,0
120,0,0,0,0,3.92,5.88,1.96,3.92,0,1.96,48.99,1.96,5.88,1.96,0,9.8,0,0,66.63,5.88,0,3.92,0,0
