stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,3,4,6,0,0,0,6,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,1.64,1.64,0,0,1.64,0,9.03,0,0,1.64,0.82,0,0,0,9.85,0.82,0,0.82,0.82,0.82,0,0,0,0,0,0,13.95,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0,2.42,1.61,0,0,0,1.61,0.81,0,0,5.64,0,0,0.81,0,0,0,0,28.2,0,0
 48-58,0,0.57,0,0,0,1.15,0,0.57,0,0.57,3.44,8.61,0,0,0,3.44,1.15,0,0,4.59,0.57,0,0,0,1.72,0,0,41.31,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,10.8,9.82,0,0,0,22.58,1.96,0,0.98,5.89,1.96,0,0,0,0.98,0,0,42.21,0,0.98
 72-82,2.94,0,0.98,0,0,8.83,0.98,0,0.98,0.98,87.37,11.78,0,0,0,47.12,11.78,0,0,24.54,0,0,0,4.91,0,0,0.98,93.26,0,0
 84-94,2.12,2.12,2.12,0,0,4.25,0,0,0,1.06,207.1,4.25,2.12,1.06,0,173.11,4.25,0,1.06,22.3,0,0,3.19,25.49,1.06,0,0,71.16,0,0
 96-106,5.46,7.65,4.37,2.19,0,27.32,1.09,1.09,1.09,7.65,385.77,17.49,4.37,0,2.19,325.67,13.11,1.09,1.09,98.36,2.19,0,14.21,24.04,1.09,1.09,0,126.77,1.09,0
108-118,2.3,9.19,2.3,2.3,2.3,11.49,0.77,1.53,0.77,3.06,500.17,9.96,1.53,0.77,0,556.86,18.38,0,2.3,88.85,0.77,0,3.83,53.62,0,0,0,87.32,0.77,2.3
120,0,1.96,5.88,3.92,0,7.84,0,0,0,1.96,344.92,9.8,0,1.96,0,350.8,5.88,0,0,62.71,0,0,0,50.95,0,0,0,101.91,0,0
