stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,9,5,0,1,0,0,0,0,1,0,4,8,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,1.64,0,0,0,0,0.82,1.64,4.1,0,1.64,97.68,0.82,16.42,0.82,0,1.64,0,0,0,1.64,38.58,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0,0,8.86,0,1.61,228,0,19.34,2.42,0,0.81,0,0,0,0,60.43,0,1.61,0,0
 48-58,0,0,0,1.72,0.57,0,10.9,0,0,1.15,2.3,0,0.57,0,0,0,0,0.57,0,10.33,0.57,0,189.36,0,7.46,2.3,0,0,0,0,0,0,53.94,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,0,48.09,0,0,0,0.98,0,0.98,0,0,0,0,0,0,10.8,0,0,177.66,0,10.8,2.94,0,0,0,0,0,0,69.69,0,1.96,0,0
 72-82,0,0,0,1.96,2.94,0,167.86,0,0.98,0,11.78,0.98,0.98,0,0,0,0.98,0,0,21.6,0.98,0.98,164.92,0,34.36,6.87,0,0,0,0,0,0,31.41,0.98,2.94,0,0
 84-94,0,0,1.06,2.12,7.43,0,145.5,1.06,0,0,8.5,2.12,0,0,0,0,1.06,0,0,10.62,0,2.12,86.03,1.06,14.87,8.5,1.06,2.12,0,0,0,0,14.87,2.12,5.31,0,0
 96-106,0,0,0,2.19,7.65,1.09,196.71,1.09,1.09,0,7.65,5.46,2.19,0,0,0,4.37,0,1.09,17.49,0,1.09,85.24,0,40.44,16.39,0,3.28,1.09,0,0,0,8.74,1.09,6.56,0,1.09
108-118,0,0,0.77,2.3,2.3,0,140.94,0,0,0,12.26,2.3,0,0.77,0.77,0.77,3.06,0,0.77,9.19,0,0.77,126.38,0.77,27.57,12.26,1.53,0,0,0,0.77,0,3.83,0,6.13,1.53,0
120,0,0,0,3.92,1.96,0,107.79,1.96,0,1.96,3.92,0,0,0,0,1.96,0,0,0,7.84,0,1.96,99.95,0,31.36,9.8,0,5.88,0,0,0,0,0,0,5.88,0,0
