stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0.82,0.82,0,0.82,4.93,0,0,0.82,0,0,0,52.53,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,46.73,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,2.3,0,0,0,6.89,0.57,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,22.95,0.57,0,0,0,0,0.57
 60-70,0,2.94,0,0.98,0,3.93,0,0,0,43.19,0,0,0,0,0,0.98,0.98,0,0,9.82,0,0,0,0,0,0,34.35,0,0,0,1.96,0,0
 72-82,0,21.6,0,2.94,0,3.93,0,0,0.98,201.24,0.98,0,1.96,0,0.98,1.96,1.96,0.98,0,27.49,0.98,0.98,0,0,1.96,0,60.86,0,0,0,0,0,0
 84-94,0,18.05,4.25,6.37,2.12,3.19,1.06,1.06,2.12,420.57,0,2.12,2.12,0,0,1.06,1.06,1.06,1.06,23.36,0,0,0,0,4.25,0,124.26,1.06,0,0,0,0,0
 96-106,0,25.14,9.84,6.56,4.37,7.65,2.19,0,6.56,534.4,0,0,0,1.09,1.09,2.19,6.56,1.09,2.19,66.66,0,1.09,0,0,6.56,0,136.61,0,2.19,1.09,1.09,1.09,1.09
108-118,0,14.55,9.19,2.3,0.77,3.06,2.3,0.77,0,553.79,0,1.53,0.77,0.77,0,3.06,6.13,0,0,51.32,0,0,0,0,3.83,0,123.32,0.77,0,0.77,0.77,0,0
120,0,5.88,1.96,3.92,0,3.92,0,0,1.96,297.89,1.96,0,0,0,0,3.92,3.92,0,0,45.08,0,0,0,0,0,0,80.35,0,0,0,0,0,1.96
