stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,52.71,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,61.3,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,10.51,28.92,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,9.44,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,19,40,0,0,0,0,0,0,2,3,1,1,1,0,0,1,10,0,0,0,4,0,0,0,0,74,0,1,10,0,2,6,0,0,0
 24-34,0,0,3.28,0.82,9.85,34.48,0,0.82,0,2.46,0,0,2.46,3.28,2.46,0.82,5.75,0,0,4.1,3.28,0,0,1.64,14.78,0,1.64,0,0,156.78,0,0,5.75,0,0,7.39,0,0,0
 36-46,0,0,0.81,0,4.03,1.61,0,0.81,0,2.42,0,1.61,0,1.61,0.81,3.22,5.64,0,1.61,0.81,2.42,1.61,0,0.81,21.75,0,0,0.81,0,95.07,0,0,1.61,0,0,1.61,0,0,0
 48-58,0,0,0,0,7.46,4.02,0,5.74,0,0.57,0,1.15,1.15,1.72,0,2.87,2.3,0,0,0,1.72,2.3,0,1.15,17.21,0,0.57,0.57,0,85.5,0,0,0,0.57,0,3.44,0,0,0.57
 60-70,0,0,0,0,24.54,0.98,0,6.87,0.98,5.89,0,0.98,2.94,0,0,5.89,9.82,0.98,0,0,3.93,0.98,0,0,14.72,0,1.96,0.98,0,114.84,0,0,2.94,0,0,1.96,0,0.98,0
 72-82,0,0,2.94,0,29.45,1.96,0.98,7.85,0,2.94,0.98,2.94,12.76,1.96,0.98,6.87,12.76,0,1.96,0,3.93,3.93,0.98,0,19.63,0,0.98,0.98,0,132.52,0,0,1.96,0,0,0.98,3.93,0,5.89
 84-94,0,0,1.06,0,35.05,10.62,1.06,2.12,0,6.37,1.06,0,28.68,4.25,0,14.87,15.93,1.06,2.12,1.06,3.19,6.37,0,1.06,18.05,0,2.12,1.06,0,330.29,0,0,3.19,1.06,0,0,5.31,0,1.06
 96-106,0,0,3.28,0,56.83,8.74,2.19,5.46,1.09,8.74,0,1.09,36.06,0,1.09,19.67,28.41,0,5.46,0,3.28,4.37,1.09,0,26.23,0,2.19,1.09,0,281.95,0,0,3.28,0,0,0,14.21,0,7.65
108-118,0,0,1.53,0,55.15,2.3,2.3,3.06,0,9.96,0,1.53,28.34,0,0,8.43,22.98,0,2.3,2.3,1.53,6.89,0,0,9.19,1.53,0,0.77,0,230.55,0,0,3.83,0.77,0,0,12.26,0,4.6
120,0,0,1.96,0,60.75,17.64,0,1.96,0,19.6,0,5.88,56.83,0,0,25.48,23.52,1.96,1.96,0,3.92,3.92,0,1.96,15.68,1.96,3.92,0,0,231.25,0,0,0,0,0,1.96,15.68,0,1.96
