stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,2,8,0,0,2,1,0,0,0,0,0,0,0,1,13,0,0,9,123,1,2,0,1,0,2,0,9,3,13,47,0,0,2,1
 24-34,0,0,0.82,0,0,22.98,0,0,4.93,0,0,0,0,0,0,0,0,0,13.95,0.82,0,4.93,158.43,0.82,0.82,1.64,0,0,7.39,0,0,0.82,1.64,30.37,0,0,4.1,0
 36-46,0,0,0,0.81,0,36.26,0,0,7.25,0,0,0,0,0,0,0,1.61,0.81,16.92,0,0,4.83,113.6,0,0.81,1.61,0,0,2.42,0.81,0,0.81,0,29,0,0,0.81,0
 48-58,0,0,0,2.3,0,24.67,0.57,0,4.59,0,0,0,0.57,0,0.57,0,0.57,0,17.79,0,0,0,44.76,0.57,1.15,0,0,0,1.72,0,0,0,0,6.89,0,0,1.72,0
 60-70,0,0,0,1.96,0,32.39,0,0.98,12.76,0,0,0,0,0,0.98,0.98,0.98,0,15.7,0,0,0,45.15,0,0,0,0,0,0.98,0,0,0.98,0,5.89,0,0,2.94,0
 72-82,0,0,0,0.98,0,20.61,0,0,10.8,0.98,0,0,0.98,0.98,0.98,1.96,0.98,0.98,22.58,0,0,2.94,29.45,0,0.98,1.96,0,0,6.87,0,0,0,0,0.98,0.98,0.98,3.93,0
 84-94,0,0,0,4.25,0,9.56,0,1.06,5.31,4.25,0,2.12,1.06,0,1.06,0,1.06,0,16.99,0,2.12,2.12,14.87,0,1.06,1.06,0,0,8.5,0,0,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,0,7.65,0,7.65,0,0,6.56,0,0,0,0,1.09,0,0,0,0,10.93,1.09,0,4.37,15.3,1.09,0,2.19,0,1.09,3.28,0,0,0,0,0,0,0,6.56,0
108-118,0,0,0,3.83,0,6.89,0.77,0,6.89,1.53,0,0,1.53,0.77,1.53,0.77,0.77,0,9.96,0.77,0,0.77,19.92,0,0.77,0.77,0,0,2.3,0,0,0.77,0,0,0.77,0,2.3,0
120,0,0,0,1.96,0,3.92,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,15.68,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0
