stage,endoderm,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,2.63,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0.57,1.72,0.57,0,0,1.15,0.57
 60-70,0,0,2.94,0,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,1.96,0,0,0,1.96,0,3.93,0,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0,0,2.12,0
 96-106,0,1.09,2.19,2.19,0,1.09,0,1.09,1.09,1.09,0,0,7.65,0
108-118,0,2.3,0.77,0.77,0,0,0.77,1.53,0,0,0,0,1.53,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0
