stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,815.24,0,0,0,0,0,0,6.13,0,0,0,0,281.96,0,183.89,0,0,0,0,0,0,0,0
  7-9,13.14,63.09,28.92,0,0,13.14,0,0,5.26,0,0,0,0,220.81,42.06,3217.54,0,10.51,0,5.26,0,0,0,0
 10-12,0,47.2,119.58,0,0,9.44,0,0,9.44,0,0,0,0,169.94,18.88,2608.84,0,0,3.15,59.79,0,3.15,0,0
 14-21,0,4,0,3,27,1,1,3,0,0,0,1,6,29,1,122,0,0,1360,1,6,212,1,0
 24-34,0,0,0,1.64,70.59,1.64,0,0,0,0.82,0.82,0,0.82,3.28,0,0,0.82,0,0,0,0,68.13,1.64,0
 36-46,0,0,0,0,31.42,2.42,0,0,0,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,38.44,1.15,0,1.15,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,33.37,2.94,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,45.16,1.96,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,26.55,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,17.49,2.19,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,10.72,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,15.68,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
