stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,gut,heart,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,2,1,0,0,0,0,4,0,0,2,3,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,0,0,2.46,0,0,2.46,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0
 48-58,0,0,0,1.72,0,0,0.57,0.57,0.57,0.57,0,0,0,0,1.15,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0
 96-106,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0
108-118,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0.77,0,0,3.83,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,9.8,0
