stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,0,0,0,1,0,0,0,0,0,1,0,0,19,1,0,0,0,1,0,4,12,0,0,0,1
 24-34,0,0,1.64,0,0,0.82,0.82,0,0,0,0,4.1,0,1.64,83.73,0.82,0,0,0.82,0,0.82,0,26.27,0,4.1,0,0.82
 36-46,0,0,6.45,0,0,2.42,0,0,0,0,0,8.86,0,1.61,113.6,0,0,0,0,0,0,0,29,0,0.81,0,1.61
 48-58,0,0,21.23,0.57,0,5.74,0,0,0,0,0,7.46,0,1.15,127.38,1.15,0,0,0,0,0,0,36.15,0,0,0,0.57
 60-70,0,0,57.91,0,0,9.82,0,0,0,1.96,0,10.8,0,1.96,132.51,0,0.98,0,0,0,0,0,22.58,0,2.94,0,0.98
 72-82,0.98,0,92.28,0,0.98,9.82,2.94,0,0,0.98,0,24.54,0.98,3.93,116.82,1.96,0,0,0,0,0,0,6.87,0,0.98,1.96,0
 84-94,1.06,1.06,46.73,1.06,0,4.25,1.06,1.06,0,0,0,13.81,4.25,1.06,80.71,1.06,0,0,0,0,0,0,8.5,1.06,5.31,0,1.06
 96-106,2.19,0,33.88,2.19,2.19,8.74,1.09,1.09,0,1.09,0,16.39,0,2.19,63.39,1.09,2.19,0,1.09,0,0,0,1.09,2.19,3.28,2.19,3.28
108-118,0.77,0,19.15,1.53,0,1.53,0,0,0.77,3.06,0,11.49,0.77,1.53,70.47,1.53,1.53,0.77,0.77,0,0,0,2.3,0,1.53,1.53,0.77
120,0,0,9.8,0,0,7.84,0,1.96,0,0,1.96,9.8,0,1.96,74.47,0,1.96,1.96,0,0,0,0,0,0,0,0,0
