stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,55.17,625.22,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,7.89,18.4,0,0,0,10.51,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,231.33,10.51,0,0,92,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,66.09,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,8,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,34,4,0,1,1,1,4,0,4,13,0,0,1,0,0
 24-34,0,0,0,0,0,0,4.1,0,0.82,0.82,1.64,0,0,0,0,0,0,0,0,3.28,0,0,0,37.76,0.82,0,0,0,4.93,0,0.82,2.46,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,19.34,0,0,0,3.22,0,0,0,0,0,0.81,0,0,8.86,0.81,0,2.42,35.45,0.81,0.81,0,0,5.64,0,0.81,0,12.09,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,29.26,0,0.57,1.72,2.3,0,0,0.57,0,0,0,0,0,11.48,0,1.15,1.72,28.69,0,0.57,0,0,0.57,0,0,0,5.74,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,0,23.56,0,0.98,0,4.91,0,0,0,0,0,1.96,0,0.98,8.83,0,0.98,0.98,8.83,0,0,0,0,6.87,0,0,0,1.96,0,0,2.94,0.98,0
 72-82,0,0,0,1.96,1.96,0,4.91,0,0,0.98,3.93,0,0,0,0,0.98,0,0,0,15.71,0,0,1.96,8.83,0,0,2.94,0,8.83,0,0,0,0,0,1.96,2.94,0,0
 84-94,0,0,0,5.31,0,0,9.56,0,1.06,1.06,3.19,0,0,0,0,0,0,2.12,0,9.56,1.06,0,0,10.62,0,1.06,2.12,0,16.99,0,0,0,2.12,0,0,2.12,2.12,0
 96-106,0,0,0,3.28,3.28,0,3.28,0,1.09,1.09,6.56,3.28,0,0,0,0,0,0,0,9.84,1.09,2.19,1.09,6.56,0,0,0,0,6.56,0,0,0,0,0,0,3.28,0,0
108-118,0,0,0,3.06,1.53,0.77,5.36,0,1.53,0.77,2.3,1.53,0,1.53,2.3,0,0.77,1.53,0.77,4.6,0.77,0.77,0,6.89,0,0,1.53,0,7.66,0,2.3,0,0,0.77,0.77,1.53,0,0
120,0,0,0,11.76,3.92,0,9.8,1.96,1.96,0,0,1.96,0,1.96,1.96,0,0,5.88,0,5.88,0,0,1.96,5.88,0,1.96,0,0,11.76,0,1.96,0,0,0,1.96,3.92,1.96,0
