stage,axial,blastomeres,eye,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,7.46,0,0,0.57,0.57,0,0,0,0,0,0,0,0,4.59
 60-70,0,0,26.5,0,0,0,0,0.98,0,0,0.98,0,0,0,0,1.96
 72-82,0,0,29.45,0,0.98,0,0,3.93,2.94,0,1.96,0,0,0.98,0,0
 84-94,0,0,22.3,1.06,0,0,2.12,1.06,0,0,5.31,0,0,0,0,0
 96-106,0,0,18.58,0,0,0,2.19,3.28,4.37,0,1.09,0,0,0,0,0
108-118,0,0,21.45,0,2.3,0,0,0,0,0,3.06,0,0,0,1.53,1.53
120,0,0,7.84,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0
