stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,18.39,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,7.89,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,210.3,5.26,0,0,134.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,154.2,9.44,0,0,116.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,3,22,0,1,1,1,1,0,5,1,0,1,6,0,0,0
 24-34,0,0,0,4.93,0,5.75,0,0,0.82,0,0.82,0,0.82,0,0.82,0.82,0.82,4.93,0,4.1,75.52,0,0.82,0,0,1.64,0,0,0,0.82,1.64,22.16,0,0.82,0.82
 36-46,0,0,0,0,0,8.86,0,0,0,1.61,0,0,0,0,0,0,0.81,4.83,0,1.61,52.37,0,0,0.81,0,2.42,0,0,0,0,0,24.17,0,0.81,0
 48-58,0,0,0,1.15,0,2.87,0,0,0,2.87,0,0,0,0,0,0,0,5.16,1.15,0,10.9,0,0,0,0,0,0,0,0,1.15,0,6.31,0,0,0
 60-70,0,0,0,0,0,6.87,0,0,0.98,0.98,0,0,0,0.98,0,0,0,2.94,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0.98,0,0,0,0,1.96,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,2.12,0,6.37,0,0,1.06,3.19,0,0,0,0,0,0,0,5.31,0,1.06,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,1.09,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,3.83,0,0,0,0.77,0.77,0,0,0,0,0,0,2.3,0,0.77,3.06,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,1.96,1.96,1.96,3.92,0,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
