stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,2.63,0,28.92,0,0,0,5.26,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,28.92,36.8,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,37.76,0,6.29,0,9.44,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,94.41,88.12,0,0,50.35,0,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,37,4,0,0,0,0,0,15,13,13,5,0,0,0,0,24,0,58,0,0,28,32,32,0,0,4,2,26,1,2,37,57,0,0,0,0,0
 24-34,0,0,0,3.28,4.1,0.82,0,0.82,0,0,2.46,9.85,0.82,0.82,0,0,0.82,0,0,32.83,0,30.37,2.46,0,13.95,30.37,6.57,0,0,0,2.46,0,0,0,13.13,40.22,0,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,0,2.42,0,0,2.42,2.42,1.61,0,0,0,0,0,0,22.56,0,9.67,0,0,6.45,16.92,4.83,0.81,0,0,3.22,0,0,0,0,15.31,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,2.87,0,0,1.72,1.72,0,2.3,0,0,0,0,0,28.69,0,11.48,1.15,0,0.57,8.03,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,8.83,0.98,0,0,0,0,0.98,0,0,0,0,0,39.26,0,11.78,0,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,2.94,0,11.78,0,0,3.93,6.87,0.98,0,0,0.98,0,0.98,0,134.49,0,11.78,0,0,1.96,19.63,0,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0,0,0.98
 84-94,0,0,5.31,0,2.12,0,3.19,4.25,0,0,6.37,0,3.19,0,0,0,0,0,0,466.23,0,9.56,1.06,0,1.06,19.12,0,0,1.06,0,2.12,0,0,0,0,0,1.06,0,3.19,0,0
 96-106,0,0,3.28,0,6.56,9.84,1.09,18.58,0,0,5.46,10.93,8.74,0,0,4.37,0,0,1.09,722.37,0,24.04,0,0,5.46,102.73,0,0,1.09,0,8.74,0,1.09,1.09,0,3.28,1.09,2.19,1.09,3.28,1.09
108-118,0,0,0.77,0,3.83,2.3,1.53,24.51,0,2.3,0.77,6.13,5.36,0,0,3.06,0,0,0.77,1406.31,1.53,25.28,5.36,0.77,2.3,84.26,1.53,3.06,0,0,2.3,0,0.77,0,0,0.77,0,0,4.6,2.3,0.77
120,0,0,0,0,5.88,0,0,5.88,0,0,0,1.96,0,0,0,1.96,0,0,0,707.48,0,11.76,0,0,0,54.87,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
