stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,37.76,0.82,0,3.28,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,4.1,1.64,0
 36-46,26.59,0,0,7.25,0,0,0,0,0,0,0,0,0,3.22,0,0,0,2.42,1.61,0
 48-58,13.2,1.15,0,12.62,0,0,0,0,0,0,0.57,0,0,4.59,0,0.57,0,2.87,0.57,0
 60-70,28.46,0.98,0,14.72,0,0,0,0,0,2.94,0,0.98,0,0.98,0.98,0,0,2.94,0,0
 72-82,31.41,0.98,0.98,11.78,0,0,0,1.96,0,0,0.98,0.98,0.98,0.98,0.98,1.96,0,4.91,0,0
 84-94,61.6,3.19,0,25.49,0,2.12,0,0,0,2.12,1.06,0,0,0,1.06,0,0,24.43,0,1.06
 96-106,67.76,0,0,20.76,0,0,2.19,2.19,0,2.19,0,0,0,5.46,1.09,0,0,20.76,0,0
108-118,79.66,0.77,0,24.51,1.53,0,2.3,0,0.77,4.6,0.77,0,0.77,3.06,0.77,0,0,16.09,0,1.53
120,90.15,0,0,21.56,0,1.96,0,0,0,1.96,0,0,0,3.92,0,0,0,17.64,0,3.92
