stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,289.91,5943.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0
  5-6,288.09,4204.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.98,6.13,0,0,49.04,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,60.46,49.95,34.17,0,0,65.72,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,833.3,49.95,0,0,399.56,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,31.47,0,3.15,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,626.25,15.73,0,0,229.73,0,0,3.15,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,2,14,4,7,0,0,0,3,2,0,2,0,0,0,0,0,0,11,0,0,11,94,3,1,1,3,0,0,0,16,3,1,11,37,0,0,0,0
 24-34,0,0,0,4.93,0,16.42,0,0,0,4.1,0.82,0,0.82,0.82,0,0,0,0,0.82,15.6,0,0,3.28,142.83,0.82,0.82,3.28,0,0,4.93,0,0,0.82,0,0.82,33.66,0,4.93,0,0
 36-46,0,0,0,1.61,0,24.17,0,0.81,0.81,3.22,0,0,0,0,0,0,1.61,0,0,18.53,0,0,8.86,117.63,0,0,1.61,0,0,2.42,0,0,0,0,0,29.81,0,2.42,0,0
 48-58,0,0,0,2.3,0,38.44,0,0,1.72,8.61,0,0,0,0,0,0.57,0,0,0,25.25,0,1.15,4.02,75.74,0,0.57,1.15,0,0.57,1.15,0,0,0,0,0,18.94,0.57,0.57,0,0.57
 60-70,0,0,0,4.91,0,32.39,0.98,0,0,8.83,0.98,0,0,0.98,0,0,0,0,0,14.72,0,0,1.96,35.33,0.98,1.96,0,0,0,0,0,0,0,0,0,9.82,0,3.93,0,0
 72-82,0,0,0,0.98,0.98,29.45,0,0,0.98,16.69,0,0,0.98,0,0.98,0,0,0,0,38.28,0.98,1.96,0.98,38.28,0,0.98,0.98,0,0,0.98,0,0,1.96,0,0,8.83,0,1.96,0.98,0
 84-94,0,0,0,1.06,1.06,13.81,0,0,0,7.43,3.19,0,0,1.06,1.06,2.12,0,0,0,16.99,0,1.06,5.31,13.81,1.06,1.06,0,0,0,1.06,0,0,2.12,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,10.93,0,0,2.19,8.74,1.09,0,1.09,1.09,1.09,0,1.09,0,0,7.65,0,1.09,2.19,21.86,1.09,1.09,0,0,0,2.19,0,0,0,0,0,2.19,0,3.28,0,0
108-118,0,0,0,1.53,0,8.43,0,0.77,0.77,3.06,3.83,0,0,0.77,0,0.77,0,0.77,0,6.89,0,0.77,0,16.85,0,0,1.53,0,0.77,3.83,0,0,0,0.77,0,0,0,1.53,0.77,0
120,0,0,0,7.84,0,13.72,0,0,1.96,5.88,1.96,0,0,0,0,0,0,0,0,5.88,1.96,0,1.96,31.36,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
