stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,4.93,0,0,0,6.57,0,0,0,0,2.46,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,2.42,0,0,0,0,1.61,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,1.72,0,0,0,0,0,0,0,0,0,0.57,0,44.18,0,0,0.57,6.31,0,0.57,0,0,0.57,0,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0,0.98,1.96,0,0,83.43,0.98,0,0,10.8,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98
 72-82,0,0,0,0.98,0.98,7.85,0,0.98,2.94,0.98,0,0,0.98,2.94,3.93,0,0,128.6,1.96,0,0,17.67,0,0.98,0,0,2.94,0,0.98,0,0,0,0
 84-94,0,0,0,4.25,0,7.43,0,0,0,3.19,0,0,0,1.06,1.06,0,1.06,105.14,1.06,1.06,0,12.74,0,1.06,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,6.56,2.19,2.19,6.56,2.19,0,1.09,1.09,2.19,3.28,0,0,89.61,4.37,0,0,14.21,0,1.09,0,1.09,4.37,0,0,0,0,1.09,0
108-118,0,0,0,7.66,0,3.83,0,0,0,2.3,0,0,0.77,0.77,0,0,0,69.7,0,0,1.53,12.26,0,0.77,0,0,3.83,0,0,0,0,0,1.53
120,0,0,0,0,0,5.88,0,0,3.92,1.96,0,0,0,1.96,0,0,0,80.35,0,1.96,1.96,13.72,0,0,0,0,0,0,0,0,1.96,0,1.96
