stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,490.37,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,21.03,0,13.14,0,0,0,39.43,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,389.05,2.63,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,40.91,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,333.58,12.59,0,0,141.61,0,0,6.29,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,1,2,8,4,0,4,0,0,0,3,1,1,0,0,1,0,1,0,0,12,0,0,2,86,0,0,4,4,0,3,0,2,0,3,11,29,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,15.6,0,0,0,5.75,0.82,0,0.82,0,3.28,0,1.64,0,0,13.13,0,0,8.21,181.41,0,3.28,2.46,0,0,6.57,0,0,0,0,5.75,37.76,0,0,2.46,0.82
 36-46,0,0,0,0,2.42,0.81,0,45.92,0,0,0,9.67,0,0,0,0,0,0,0,0,0,24.98,0,0,4.03,211.09,1.61,4.03,0,0,0,1.61,0,0,0.81,0,0,53.17,0,0,0.81,0
 48-58,0.57,0,0,0,3.44,0,0,51.64,0,0,1.15,11.48,0.57,0,0.57,0.57,0.57,1.15,0.57,0,1.72,20.66,0.57,0,6.89,156.07,0,2.3,1.15,0,0,6.31,0,0,0,1.15,0,28.12,0,0,1.15,1.15
 60-70,0.98,0,0,0,6.87,0,0,85.39,0.98,0.98,0.98,11.78,0,0,0,1.96,0,0,2.94,0.98,0,32.39,0,0.98,1.96,151.15,0.98,0,0.98,0,0,3.93,0,0,0,0,0,24.54,0.98,0.98,1.96,0
 72-82,0,0,0,0,5.89,1.96,0,52.03,0.98,0.98,0.98,11.78,1.96,0,0.98,0.98,0.98,0,0.98,4.91,0,36.32,0,0.98,3.93,110.93,0,0,0.98,0,0,3.93,0,0,0,0,0,12.76,0.98,0,7.85,0.98
 84-94,0,0,0,0,6.37,0,1.06,45.67,1.06,0,0,13.81,1.06,0,0,1.06,2.12,1.06,1.06,1.06,1.06,25.49,0,1.06,7.43,72.22,2.12,1.06,4.25,0,0,10.62,0,0,0,0,0,5.31,1.06,1.06,5.31,0
 96-106,0,0,0,0,2.19,3.28,0,32.79,2.19,1.09,1.09,10.93,2.19,0,3.28,5.46,4.37,1.09,1.09,0,2.19,19.67,0,2.19,5.46,54.64,0,2.19,1.09,0,0,12.02,0,0,0,0,0,2.19,0,1.09,2.19,1.09
108-118,0,0,0,0,8.43,0.77,1.53,25.28,0,2.3,0.77,13.79,1.53,0.77,0.77,3.06,0.77,2.3,1.53,0,0.77,17.62,0.77,1.53,2.3,52.85,0,0.77,3.06,0,0.77,9.19,0,0,0,0,0,1.53,0.77,0,3.06,0.77
120,0,0,0,0,3.92,0,0,23.52,0,0,0,11.76,1.96,0,0,1.96,0,0,3.92,1.96,0,9.8,1.96,3.92,1.96,64.67,0,0,3.92,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0
