stage,axial,blastomeres,epidermis,eye,fin.epithelia,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,27.09,0,0,0
 36-46,0,0,0,0,0.81,1.61,0,0.81,0,0,0,0.81,0,37.87,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,1.15,1.15,0.57,1.15,0,20.08,0.57,0,0
 60-70,0,0,0.98,0.98,1.96,0.98,0,0,0,0,0,1.96,0,23.56,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0.98,22.58,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,1.06,0,0,0,19.12,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,16.39,0,0,0
108-118,0,0,3.83,0,0,0,0.77,0,0,0,0,0,0,9.19,0,0,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,13.72,0,0,0
