stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,149.84,10.51,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,223.43,12.59,0,0,31.47,0,6.29,0,22.03,0,0,6.29,0,0,0,0
 14-21,0,0,5,11,3,5,0,42,0,0,1,0,0,0,0,7,0,4,125,0,1,2,3,0,4,5,34,0,7,137,0,0,0,0
 24-34,0,0,0.82,4.1,0,20.52,0,45.97,0,0,0,0,0,0.82,0,9.03,0,3.28,148.57,1.64,6.57,3.28,0,0.82,0,0,24.63,0,0.82,129.7,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,16.92,1.61,29.81,0,0,0,0,0,0,1.61,10.47,0,4.03,85.4,0.81,3.22,0.81,0,0,0,0,9.67,0,0,125.68,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,22.95,0,34.43,0,0,0,0,0,1.15,0,11.48,0,1.72,33.28,0.57,3.44,0,0,0.57,0,0,4.59,0.57,0,82.05,0,0,0,0
 60-70,0,0,0,0,0,18.65,0,38.28,0,0,0,0,0,0,0,7.85,0,0,14.72,0,2.94,0,0,0,0,0,0.98,0,0,34.35,0,0,0,0
 72-82,0,0,0,0,0,13.74,0,79.51,0,0,0,0,0.98,1.96,0.98,16.69,1.96,0,12.76,0,10.8,1.96,0,1.96,0,0,4.91,0,0,19.63,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,15.93,0,50.98,2.12,0,0,1.06,0,5.31,0,4.25,0,1.06,6.37,0,8.5,10.62,0,0,0,0,4.25,0,0,8.5,0,0,0,0
 96-106,0,0,0,0,1.09,8.74,0,60.11,0,0,0,0,0,5.46,0,6.56,0,0,13.11,1.09,5.46,9.84,0,2.19,0,0,2.19,0,0,13.11,1.09,0,0,0
108-118,0,0,0,0.77,0.77,6.89,0,48.26,0,0,0,0,0,6.89,0,4.6,0,0,11.49,0,7.66,7.66,0,0,0,0,3.83,0,0,6.13,0.77,0,0.77,0
120,0,0,0,0,0,3.92,0,21.56,1.96,0,0,1.96,0,3.92,1.96,1.96,0,0,3.92,0,3.92,7.84,0,0,0,0,11.76,0,0,3.92,0,0,0,0
