stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,839.76,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,42.91,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,10.51,18.4,0,0,49.95,0,0,0,0,0,5.26,0,0,0,0,0,0,352.25,13.14,0,0,113.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,34.62,0,0,0,0,0,3.15,0,0,0,3.15,0,0,276.93,15.73,0,0,88.12,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,7,0,5,0,0,0,1,1,0,0,0,0,0,4,2,65,0,0,2,1,0,1,5,0,5,19,0,0,0
 24-34,0,0,0.82,1.64,0,24.63,0,0,0,3.28,0,0,0,0,0,0,6.57,3.28,119.84,1.64,0,0,0,0,4.93,0,0,0,24.63,0.82,0,1.64
 36-46,0,0,0,0.81,0,17.72,0.81,0.81,1.61,2.42,0,0,0,0.81,0,0,4.03,0.81,34.64,0,0,0,0,0,2.42,0,0,0,9.67,1.61,0,0
 48-58,0,0,0,0,0,10.33,0,0.57,0,2.87,1.15,0,0,0,0,0.57,7.46,0.57,14.35,0,0,0,0,0,0.57,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,2.94,0,8.83,0,0,0,3.93,0.98,0,0,0,0,0,3.93,0,11.78,0,0,0,0,0,6.87,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,4.91,0,0,0.98,4.91,0.98,0,0.98,0,1.96,0.98,11.78,0,13.74,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,1.06,1.06,0,1.06,3.19,0,0,0,0,0,1.06,4.25,2.12,7.43,0,0,1.06,0,1.06,3.19,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,3.28,0,0,0,1.09,0,0,5.46,1.09,8.74,0,1.09,1.09,0,0,2.19,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,0,1.53,0,0,0.77,3.83,0,0,0,0,0,0,4.6,0.77,6.13,0.77,0,1.53,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0,0,0,1.96,0,0
