stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,61.3,1078.82,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,42.91,12.26,0,0,18.39,0,42.91,0,0,0,0,0,0
  7-9,13.14,13.14,0,7.89,0,0,0,28.92,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,283.9,18.4,0,0,118.29,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,1,1,0,0,24
 24-34,0,0,0,0,0.82,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,22.16,0.82,0.82,0.82,0,0,0.82,0,0.82,9.85,0,0.82,73.88
 36-46,0,0,0.81,0,0,0,0,7.25,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0,48.34,0.81,1.61,4.03,0,0,0.81,0,0,5.64,0,0.81,41.09
 48-58,0,0,0,0,0,0,0,13.77,0,0.57,0,6.31,0,0,0,0,0,0.57,0,5.16,0,0,0.57,71.73,0,0,0,0,0,0,0,0,8.03,0,0.57,95.25
 60-70,0,0,0,0,1.96,0,0,24.54,0,0.98,0,12.76,0,0,0.98,0.98,0,0,0,12.76,0,0,0,60.85,0,0,0,0,0,0,0,0,10.8,0,0.98,66.74
 72-82,0,0,0.98,0,3.93,0,0,26.5,0,0,1.96,9.82,0,0,0.98,0,0,0.98,0,15.71,0,0,0.98,54.97,0,1.96,0,0,0,1.96,0,0,3.93,0,3.93,89.33
 84-94,0,0,0,0,0,0,0,21.24,0,0,0,3.19,1.06,0,0,2.12,2.12,1.06,0,8.5,0,0,0,21.24,0,2.12,1.06,0,0,5.31,0,0,0,1.06,1.06,69.03
 96-106,0,0,0,0,1.09,1.09,0,27.32,1.09,0,0,7.65,0,0,0,1.09,0,2.19,0,9.84,1.09,1.09,0,25.14,0,0,0,0,1.09,3.28,0,0,2.19,0,0,81.96
108-118,0,0,0,0,1.53,0,1.53,4.6,0,0.77,0,2.3,0,0,0,0.77,1.53,0,0,6.13,0,0,0,13.79,0.77,0.77,0,0,0,6.89,0,0,0.77,0,0,121.79
120,0,0,0,0,0,1.96,0,5.88,0,0,0,3.92,0,0,1.96,0,0,0,1.96,7.84,0,0,0,21.56,0,0,0,0,0,3.92,0,0,0,0,1.96,58.79
