stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,50,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0.82,0,1.64,0,0,1.64,0,0,0,0.82,0,0,0,1.64,0,0.82,43.51,3.28,0,0,0,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,3.22,0,0,0,0,0,0,0.81,0.81,0,0,29,8.06,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0.57,0,0.57,0,0,1.15,4.02,0,0.57,23.53,5.74,0,1.72,0,0.57,0,0,0,1.15,0,1.15,0
 60-70,0,0,0,2.94,0.98,0,12.76,0,0.98,0,0,0.98,0,1.96,20.61,0,0.98,19.63,4.91,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,4.91,0,0.98,61.84,0.98,0.98,0,0,0,0.98,0,61.84,0,2.94,23.56,3.93,0.98,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,5.31,0,0,45.67,1.06,0,0,0,1.06,0,2.12,73.28,1.06,0,20.18,6.37,0,5.31,0,0,0,0,0,1.06,0,3.19,2.12
 96-106,0,3.28,1.09,7.65,1.09,0,90.71,1.09,0,1.09,1.09,3.28,0,9.84,63.39,0,0,28.41,3.28,0,5.46,0,1.09,0,0,0,0,0,1.09,4.37
108-118,0,0,0,3.06,0.77,0,64.34,1.53,0,0,0,3.06,0,5.36,42.89,0,3.06,12.26,7.66,0,3.83,0,0,0,0,0,0,0,0.77,0
120,0,1.96,0,3.92,0,0,70.55,0,0,0,0,1.96,0,3.92,52.91,0,1.96,11.76,11.76,0,3.92,0,0,1.96,0,0,0,0,1.96,0
