stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0.82,0.82,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,14.78,0,0,0,0,0,0,0,0,4.93,0.82,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0.81,0,0,0,0,0,0,0.81,0,2.42,0,0,0,12.89,0,0,0,0,0.81,0,0,0.81,3.22,0.81,0,0
 48-58,0,0,0,0,0,9.18,0,0.57,0,1.15,0,0.57,0,0,0.57,0,0,0.57,4.02,0,0,0.57,35,0,0,0,0,0.57,0,0,0,6.31,0.57,0,0
 60-70,0,0,0,0,0,21.59,0.98,0,0,6.87,0,0,0.98,0.98,0,0.98,0,0,3.93,0,0,0.98,51.04,0,0.98,0,0,2.94,0,0.98,0,3.93,0.98,0,0.98
 72-82,0,0,0,0,0,23.56,0.98,0,0,4.91,0.98,0,0,0.98,0,0,0.98,0,14.72,0,0.98,2.94,68.72,0,6.87,4.91,0,0,0,0.98,0,7.85,0,0.98,0
 84-94,0,0,0,0,2.12,19.12,0,0,1.06,4.25,2.12,0,0,0,2.12,0,0,1.06,14.87,0,0,1.06,31.86,0,0,0,0,2.12,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,0,0,10.93,0,0,0,6.56,1.09,0,1.09,1.09,0,2.19,0,0,4.37,0,1.09,2.19,36.06,0,3.28,0,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,3.06,0,13.79,0,0.77,0.77,6.89,1.53,0,2.3,1.53,1.53,0,0.77,0.77,4.6,0,0,0,42.89,0,3.06,0,0,1.53,0.77,0,0,2.3,1.53,0,0
120,0,0,0,0,1.96,13.72,0,1.96,0,5.88,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,58.79,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0
