stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,4678.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1422.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,13.14,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,12.59,3.15,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,2,10,2,0,2,0,5,0,2,0,0,0,0,0,0,1,0,2,65,3,2,3,0,3,2,7,66,0,4,70,0,0,0,0,0
 24-34,0,0,1.64,4.1,4.1,1.64,0,4.93,0,19.7,1.64,0,0.82,0,0,0.82,0,0,2.46,0,0,79.62,0,4.93,5.75,0,21.34,0,0,50.07,0,0.82,87.01,0,0,6.57,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0.81,29,0.81,0,1.61,1.61,0,0,0,0,1.61,0,0,76.54,0,7.25,0,0,22.56,0.81,0,18.53,0.81,0,63.65,0,0,9.67,0,0
 48-58,0,0,1.15,0,1.15,0,0,11.48,0,26.4,0.57,2.87,4.02,1.15,0,0.57,0,0,3.44,2.3,1.15,60.82,0,5.16,1.15,0,13.2,0,0,5.16,0,0,33.85,0,0,1.72,0,0
 60-70,0,0,2.94,0,0,0,0,11.78,0.98,59.87,6.87,7.85,4.91,0.98,0,0,0,0,10.8,2.94,1.96,80.48,0,6.87,3.93,0,14.72,0,0,1.96,0,0,30.43,0,0,0,0,0
 72-82,0,0,11.78,0,2.94,5.89,0,25.52,0,85.4,17.67,3.93,15.71,0,0,0.98,0,0,25.52,2.94,0.98,112.89,0,11.78,0.98,0,13.74,0,0,1.96,0,0,29.45,0,0.98,1.96,0,0
 84-94,0,0,11.68,0,3.19,3.19,0,45.67,0,62.66,24.43,3.19,19.12,0,0,0,0,1.06,12.74,3.19,0,64.78,1.06,4.25,5.31,0,39.3,0,0,4.25,0,0,15.93,0,0,4.25,1.06,0
 96-106,0,0,13.11,0,5.46,3.28,0,66.66,1.09,81.96,19.67,0,25.14,3.28,0,3.28,1.09,0,12.02,3.28,0,57.92,1.09,12.02,6.56,0,36.06,0,0,4.37,0,0,17.49,3.28,0,0,1.09,1.09
108-118,0,0,6.13,0.77,1.53,1.53,3.06,68.17,0,70.47,13.02,0,18.38,3.06,1.53,0,0.77,0,18.38,3.06,0,72,0,7.66,6.13,0,22.98,0,0,4.6,0.77,0,16.85,0.77,0,3.83,0,0
120,0,0,1.96,0,9.8,3.92,0,37.24,1.96,56.83,13.72,0,23.52,7.84,0,0,1.96,0,11.76,5.88,0,76.43,0,1.96,1.96,0,31.36,0,0,5.88,0,0,19.6,0,0,0,0,0
