stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,5.26,0,0,0,0,0,21.03,0,10.51,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,18.88,0,9.44,0,3.15,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,8.21,0,0,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.15,0,0,0,2.87,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,1.96,0,0.98,0,2.94,0,0,0,0,0,0,0,0.98
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
