stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0
 24-34,0,11.49,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,3.28,0.82,0,2.46,117.38,0,7.39,0.82,0,0,2.46,85.37,0,0,0,0,0
 36-46,0,16.11,0,0,8.86,0,0.81,0,1.61,0,0,0,0,0,0,0,0,4.03,0.81,0,0,219.95,0,16.92,3.22,0,0,0.81,128.1,0,0,1.61,0,4.03
 48-58,0,12.62,0.57,0,25.82,0,1.72,0,5.16,0,0,0.57,0,0.57,0.57,0.57,0,4.59,6.31,0.57,0,247.88,0,16.64,2.87,0,0,0,82.05,0,0,0.57,0,5.74
 60-70,0,6.87,0,0,93.24,0,3.93,0,15.7,0,0,0,0,0,0,0,0,5.89,3.93,0,0,672.34,0,17.67,2.94,0,0,1.96,125.63,0,0,0,0,13.74
 72-82,0,8.83,3.93,0,225.78,0.98,1.96,0,25.52,0.98,0,0,2.94,0,0.98,0,0,19.63,4.91,0,0.98,1021.91,0,21.6,4.91,0,0,2.94,83.44,0,0,3.93,0,9.82
 84-94,0,11.68,0,0,164.62,0,4.25,1.06,28.68,0,1.06,0,0,0,0,1.06,0,9.56,3.19,1.06,0,579.87,0,14.87,13.81,0,0,4.25,45.67,1.06,0,0,0,10.62
 96-106,0,10.93,3.28,1.09,183.6,0,1.09,0,53.55,4.37,0,0,2.19,0,8.74,0,1.09,16.39,3.28,0,1.09,677.56,0,27.32,9.84,0,0,9.84,38.25,8.74,1.09,2.19,3.28,15.3
108-118,0.77,19.15,0.77,0,183.07,0.77,2.3,0,45.96,4.6,0,0,0,0.77,6.89,1.53,0.77,19.15,0.77,0,2.3,939.84,0.77,14.55,6.13,0,0.77,1.53,25.28,15.32,0,1.53,3.06,16.09
120,0,11.76,5.88,0,146.98,1.96,5.88,0,52.91,1.96,0,0,1.96,0,3.92,1.96,0,15.68,0,0,3.92,958.34,1.96,7.84,3.92,0,0,7.84,37.24,7.84,0,5.88,0,1.96
