stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,490.37,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,60.46,0,144.58,0,0,168.24,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,1908.45,36.8,0,0,636.15,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,81.82,0,3.15,66.09,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,1092,28.32,0,0,324.14,3.15,3.15,0,22.03,0,18.88,0,0,0,0,0,0
 14-21,0,0,3,1,70,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,5,14,2,0,0,1,10,0,34,0,225,481,13,0,0,1,0,0
 24-34,0,0,3.28,0,33.66,0,4.1,87.83,1.64,0,1.64,0,0,1.64,0,0,0,0,0,2.46,0,10.67,41.04,0.82,0,0.82,0,15.6,0,0,0,77.16,319.31,9.85,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,33.03,0,3.22,84.6,1.61,0,1.61,0,0,0.81,0,0,0.81,0,0,0.81,0.81,7.25,18.53,0,0,0.81,0,31.42,0,0,0,36.26,16.11,6.45,0,0,0.81,0,0
 48-58,0,0,1.15,0,28.12,0,6.31,30.99,3.44,0.57,1.15,0,0,1.72,0,0,0,0.57,0,2.87,0.57,9.75,17.79,0,0,0,0.57,15.49,0,0,0,9.18,0,4.59,0,0.57,2.3,0,0.57
 60-70,0,0,0,0,22.58,0,2.94,36.32,4.91,0,0,0,0,0.98,0,0,0,0.98,0.98,1.96,0,11.78,7.85,0,0,0,0,12.76,0,0.98,0,12.76,0,1.96,0,0,0.98,0,0
 72-82,0,0,1.96,0,28.47,0,3.93,30.43,1.96,0,0,0,0,0,0,0,0,0,0.98,5.89,0,7.85,9.82,0,0.98,0,0,5.89,0,0,0,2.94,0,1.96,0.98,0.98,3.93,0.98,0
 84-94,0,0,0,0,66.91,0,5.31,21.24,1.06,0,2.12,3.19,0,1.06,0,1.06,0,0,0,2.12,0,10.62,2.12,0,0,1.06,0,19.12,0,0,0,8.5,0,1.06,0,2.12,3.19,0,0
 96-106,0,0,0,0,59.01,0,4.37,21.86,10.93,0,2.19,1.09,0,3.28,0,0,0,1.09,0,6.56,0,13.11,8.74,0,0,0,0,4.37,0,0,1.09,7.65,0,1.09,0,1.09,4.37,0,0
108-118,0,0,2.3,0,68.17,0,3.06,21.45,5.36,0.77,1.53,0.77,0,0.77,0.77,0,0,1.53,0,4.6,0,5.36,7.66,0,0.77,0,0,3.83,0,0,0.77,8.43,0,0.77,0,1.53,0.77,0.77,0
120,0,0,0,0,43.12,0,1.96,19.6,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,15.68,5.88,0,0,0,0,5.88,0,0,0,3.92,0,0,0,1.96,0,0,0
