stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,34,0,0,1,0,4,0,0,0,0,0,0,1,0,0,4,0,0,2,7,22,0,0,5,0,2,0,10,0,0,4,7,0,0,0
 24-34,0,31.19,0.82,0,4.1,0,13.95,0.82,0,0,0,0,0,2.46,0,0,6.57,0,0.82,9.03,31.19,4.1,0,0.82,0,0,4.1,0,0,0.82,0,3.28,15.6,0,3.28,0
 36-46,0,8.06,0,0,5.64,0.81,5.64,0.81,1.61,0,0.81,0,0,4.83,0.81,0,10.47,0,0,2.42,66.06,0,0,0,0,0,0,0,0,0,0,0,17.72,0,1.61,0
 48-58,0,8.61,0,0,27.54,0,9.18,1.72,1.72,0,0,0,0,5.74,0,0,16.64,0,0.57,3.44,74.59,0.57,0,0.57,0,0,1.72,0,0,0,0,0,14.92,0,0.57,0
 60-70,0,7.85,0,0,106,0,8.83,0.98,4.91,0,0.98,0,0.98,5.89,0.98,0,15.7,0,0,0.98,81.47,0,0,0,0.98,0,4.91,0,0,0.98,0.98,0,13.74,0.98,0,0
 72-82,0.98,7.85,0,0,95.22,0,4.91,0.98,8.83,1.96,0,0.98,0.98,3.93,0,0,31.41,0,0,3.93,99.15,0,0.98,0,0,0,0.98,0,0,0.98,0,0,12.76,0,0,0.98
 84-94,0,20.18,0,0,61.6,0,12.74,1.06,6.37,0,0,0,0,1.06,0,1.06,18.05,1.06,1.06,4.25,78.59,1.06,0,1.06,0,1.06,3.19,0,0,0,0,0,7.43,0,2.12,2.12
 96-106,0,10.93,1.09,0,34.97,0,10.93,2.19,4.37,0,0,0,0,2.19,0,0,13.11,0,0,0,66.66,0,1.09,0,0,1.09,1.09,0,0,1.09,0,0,2.19,0,1.09,0
108-118,0,22.21,0,0.77,42.13,0,16.09,0,3.83,0.77,0,1.53,0,0.77,0,0,7.66,0,0,0,68.94,0.77,1.53,0,0,0,3.06,0,0,0.77,0.77,0,1.53,0,0.77,0.77
120,0,11.76,0,1.96,15.68,0,7.84,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,99.95,0,1.96,0,0,0,0,1.96,0,0,0,0,5.88,0,1.96,0
