stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21,42,0,10,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,5,29,0,0,0,0,0,0,1,0,5,4,2,0,0,70,0,0
 24-34,0,0,0,0,91.12,9.85,0,40.22,0,0.82,0,2.46,0,9.85,0,0,0,0,0,0.82,8.21,0.82,0,1.64,79.62,0,0,0,0,0,0,0,0,0.82,3.28,10.67,0,0,262.67,0,0.82
 36-46,0,0,0,0,128.91,0.81,0,91.04,0,8.06,0,37.87,0,0.81,0,0,0,0,0.81,0,10.47,2.42,0,2.42,216.73,0,2.42,0,0,0,2.42,0,2.42,0.81,0,24.17,0,0,180.47,0,0
 48-58,0,0,0,0,88.94,1.15,0,67.71,0,14.92,0.57,49.35,0.57,5.16,0,0,0,0,0.57,0.57,16.64,0.57,1.15,1.72,158.94,0,1.15,0.57,0,0,1.15,0,0.57,1.15,0,16.64,0,0,142.3,0,2.87
 60-70,0,0,0.98,0,108.95,0,0,77.54,0.98,21.59,0,114.84,0,4.91,1.96,0.98,0,3.93,0,0,58.89,0,3.93,1.96,344.51,0.98,1.96,0.98,0,0,4.91,0,3.93,0.98,0,30.43,0,2.94,117.78,5.89,1.96
 72-82,0,0,0,0,115.84,1.96,0,82.46,0,24.54,0,212.04,1.96,7.85,6.87,0.98,0,0.98,0,0,95.22,3.93,9.82,4.91,414.26,0,6.87,0,0,1.96,0,0,1.96,0.98,0,16.69,1.96,6.87,255.23,15.71,3.93
 84-94,0,0,0,0,238.96,1.06,2.12,57.35,0,37.17,1.06,122.13,5.31,4.25,5.31,2.12,0,0,0,1.06,50.98,5.31,10.62,7.43,229.4,2.12,3.19,0,0,0,1.06,0,0,1.06,0,12.74,4.25,3.19,224.09,16.99,2.12
 96-106,0,0,1.09,0,321.3,4.37,1.09,54.64,2.19,37.16,1.09,143.16,8.74,14.21,8.74,2.19,2.19,0,2.19,1.09,55.74,2.19,2.19,7.65,231.68,0,6.56,0,1.09,4.37,9.84,0,4.37,0,0,5.46,2.19,2.19,292.88,31.69,1.09
108-118,0,0,1.53,0.77,245.87,0.77,3.06,41.36,0,47.49,0.77,130.21,8.43,6.13,4.6,3.06,1.53,1.53,1.53,0,62.81,1.53,0.77,6.13,317.11,0,8.43,1.53,0,3.83,6.89,0,3.06,0.77,0,7.66,7.66,1.53,232.85,29.11,2.3
120,0,0,0,0,143.06,1.96,1.96,43.12,0,23.52,0,101.91,1.96,1.96,17.64,3.92,0,0,1.96,0,56.83,0,0,13.72,370.4,0,3.92,0,0,1.96,9.8,0,1.96,0,0,13.72,0,0,229.29,35.28,0
