stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,704.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,18.39,12.26,0,0,0,0,0,0
  7-9,7.89,0,7.89,0,18.4,0,0,0,0,0,0,0,0,0,0,0,141.95,7.89,0,0,31.54,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,173.08,0,0,0,34.62,0,3.15,9.44,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,1,0,4,0,2,5,0,0
 24-34,0,0,0,0,7.39,0,2.46,0,0,0.82,0.82,0.82,7.39,0,0,3.28,84.55,0,1.64,0.82,0,1.64,0.82,0,0.82,8.21,0,0
 36-46,0,0,0,1.61,8.06,0.81,1.61,0.81,0,0,0,0,4.03,0,0,0.81,28.2,0,0,0.81,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,1.15,25.25,0,5.74,0,0,0,0,0,14.35,0,0.57,2.3,27.54,0.57,0,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,10.8,0,1.96,0,0,0,0.98,0,3.93,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,3.93,0,3.93,0,0,0,0,0,3.93,0,0,0,5.89,0,0.98,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,3.19,0,1.06,1.06,0,0,0,0,2.12,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,6.56,0,0,1.09,0,0,14.21,1.09,0,0,5.46,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0,4.6,0,0.77,0.77,2.3,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
