stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,otic,pronephros,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,0.57,1.15,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
