stage,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,pericytes,periderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,1,0,0,0,2,0,0,1,0,0
 24-34,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,6.45,0,0,0,1.61,0
 48-58,1.15,0,1.15,0,0,0,0,0.57,6.31,0,0,0,2.87,0
 60-70,2.94,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,6.87,0,0,0,0,0,0,0,5.89,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0
108-118,1.53,0.77,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
