stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,371,4,12,0,0,0,4,2,1,3,0,3,0,2,0,0,10,1,5,999,7,0,24,5,38,10,9,7,152,0,0,0,0,1
 24-34,0,0.82,6.57,1.64,18.06,0,0.82,0,5.75,0,0,0.82,0,0.82,0,0.82,1.64,0,15.6,0,4.93,713.32,1.64,2.46,1.64,0,4.93,0,0.82,0,266.78,0,0,1.64,0,0
 36-46,0,0,4.83,0.81,8.06,0.81,0,0,51.56,0,0,0.81,0,0.81,0,0.81,0,0,6.45,0,1.61,290.04,0.81,1.61,1.61,0,3.22,0,0,0.81,187.72,0,0,1.61,0,0
 48-58,0,0,0,0,14.35,0,0,0,72.87,0,0,0.57,0,0,0.57,0.57,0,0.57,9.75,0,2.3,108.45,0,0.57,0.57,0,1.15,0,0,0,84.92,0,0,1.15,0,2.3
 60-70,0.98,0,0.98,0,29.45,0.98,0,1.96,69.69,0.98,0,1.96,0.98,0,0,1.96,0,0,42.21,0,0,88.34,0,2.94,0,0,0,0,0,0,43.19,0,1.96,1.96,0,0
 72-82,0,0,4.91,0.98,43.19,0,0,0,117.8,0.98,0,0.98,0,0,0,0.98,0,1.96,85.4,0.98,2.94,103.07,0,0,0.98,0,1.96,0,0,0,31.41,0.98,0.98,0.98,0,0
 84-94,0,0,10.62,2.12,35.05,0,0,1.06,75.4,0,0,0,0,0,1.06,1.06,0,0,65.85,0,0,38.23,1.06,0,0,0,2.12,0,0,0,18.05,0,0,2.12,0,0
 96-106,0,0,4.37,1.09,39.34,0,0,1.09,75.41,0,0,2.19,1.09,2.19,0,0,0,0,110.38,1.09,2.19,61.2,0,0,1.09,0,3.28,0,0,0,13.11,0,2.19,2.19,0,0
108-118,0.77,0,3.06,0.77,22.21,0,0.77,0,75.83,0,0,1.53,1.53,0.77,0,1.53,2.3,0,104.17,0,1.53,62.04,0,0.77,5.36,0,2.3,0,0,0,9.96,0,0.77,1.53,1.53,0.77
120,1.96,0,9.8,0,11.76,0,0,0,96.03,0,0,0,1.96,0,1.96,0,0,0,62.71,0,3.92,90.15,0,0,0,0,5.88,0,0,0,11.76,0,0,0,0,0
