stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,13.14,0,0,0,0,0,0
 10-12,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,7,30,0,0,0,0,0,4,5,0,3,0,0,1,0,1,0,0,8,3,0,0,3,0,176,0,6,0,0,0,0
 24-34,0,0,11.49,32.83,0.82,1.64,0,1.64,0,0.82,1.64,0,9.03,0.82,3.28,0.82,0.82,15.6,0,0.82,16.42,0,2.46,0.82,0,0,421.1,0,3.28,0,0,0,0
 36-46,0,0,3.22,13.7,0,1.61,0,2.42,0,0,0,0,4.03,0,1.61,0,1.61,19.34,0,0,20.14,0,4.83,0,0,0,410.89,0,2.42,0,0,0,0.81
 48-58,0,0,0,9.75,0,8.03,0,3.44,1.72,2.3,1.15,0,2.87,0,1.72,0,3.44,15.49,0,0.57,16.64,0,3.44,0.57,0,0,324.77,0,2.87,0,0,0,1.15
 60-70,0,0,0,9.82,0.98,3.93,0,1.96,0,1.96,0.98,0,2.94,0,1.96,0,1.96,11.78,0.98,0,6.87,0,2.94,0.98,0,0,202.19,0,1.96,0.98,0,0,0.98
 72-82,0,0,0,33.38,0,4.91,0,5.89,0.98,29.45,0,0,2.94,1.96,16.69,0,1.96,27.49,0,0.98,9.82,0,3.93,3.93,0,0,168.85,0,0.98,3.93,0.98,0,0
 84-94,0,1.06,0,64.78,0,4.25,0,10.62,1.06,33.99,0,2.12,8.5,0,6.37,0,3.19,23.36,0,0,6.37,0,7.43,4.25,0,0,498.1,1.06,0,3.19,0,0,0
 96-106,0,1.09,0,108.19,2.19,8.74,0,10.93,2.19,91.8,0,1.09,8.74,0,26.23,0,4.37,22.95,0,0,12.02,1.09,13.11,7.65,0,0,362.83,0,0,20.76,0,0,1.09
108-118,0,0,0,91.92,1.53,6.13,0,9.96,0,90.38,0,0.77,9.19,0,20.68,0,3.83,11.49,0,0,13.79,0,8.43,2.3,0,0.77,327.83,0,0,21.45,0,1.53,0.77
120,0,0,0,72.51,0,3.92,1.96,13.72,0,50.95,0,0,11.76,0,11.76,0,1.96,15.68,0,0,7.84,0,5.88,1.96,0,0,190.1,0,0,7.84,0,0,0
