stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,21.03,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,115.66,5.26,0,57.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,119.58,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,8,3,9,0,0,4,0,0,0,0,0,0,0,8,6,92,3,2,1,0,0,11,0,1,4,24,0,0,0,0
 24-34,0,0,0,0.82,0.82,4.1,0,0,0,0.82,0,0.82,0,0,0,0,3.28,1.64,48.43,0,0.82,0,0,0,0,0,0,0,9.85,0,0.82,0,0
 36-46,0,0,0,0.81,0,4.83,0.81,0,0.81,0.81,0,0,0,0,0,0.81,2.42,2.42,23.36,0,0,0,0,0.81,0,0,0,0.81,6.45,0,0,0,0
 48-58,0,0,0,0.57,0,5.16,0,0,1.72,0,0,0,0,0,0.57,0,4.02,1.72,12.62,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,2.94,0,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,5.89,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0,5.31,0,3.19,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,3.28,0,0,2.19,0,0,0,1.09,0,0,0,3.28,1.09,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0.77,0,7.66,0,0,0,0,0.77,0,0,3.83,0.77,9.96,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
