stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,21,1,0,0,1,0,0,1,1,2,0,0,1
 24-34,0,0,0.82,4.93,0,0,0,0,0,0,0,0.82,0,0,2.46,0,1.64,35.3,0,0,0.82,0,0,0,0,0,9.03,0,0,0
 36-46,0,0,2.42,8.06,0,1.61,0,0,0,0.81,0,0,0,0,5.64,0.81,2.42,24.17,1.61,0,1.61,0,0,0,0,0,8.86,5.64,0,0
 48-58,0,0,0,12.05,0,2.87,0,1.15,0.57,0,0,0,0,0,6.31,0,0,17.79,1.15,0,0.57,0,0,0,0,0,4.02,2.3,0,3.44
 60-70,0,0,0.98,12.76,0.98,2.94,0,0,0,0,0,0,0,0,4.91,0,3.93,15.7,0,0,0,0,0.98,0,0,0,5.89,1.96,0,1.96
 72-82,0,0,0,10.8,0,1.96,0,0.98,1.96,0,0,0,0,0,5.89,0,0,13.74,0,0,1.96,0,0,0.98,0,0,0,1.96,0,0.98
 84-94,0,0,1.06,19.12,0,3.19,0,0,1.06,0,1.06,0,0,0,7.43,0,2.12,3.19,0,1.06,0,0,0,3.19,0,0,1.06,4.25,1.06,1.06
 96-106,0,0,1.09,14.21,2.19,2.19,0,1.09,3.28,0,0,0,1.09,0,4.37,0,1.09,4.37,0,0,0,0,0,4.37,0,0,0,2.19,0,0
108-118,0,0,1.53,5.36,0,3.83,0,0,0.77,0,0,0,0.77,0.77,2.3,0,0,7.66,0,0,0,0,0,3.06,0,0,0,0.77,0,0.77
120,0,0,1.96,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0,1.96,0,0,0,0,0,0
