stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,25.78,0,0,0,0,3.22,0
 48-58,0,0,0,1.72,0,1.15,0,0.57,35.58,0.57,0,0,0.57,2.87,0
 60-70,0,0,0,0,0,1.96,0,0.98,100.12,0,0,0,0,7.85,0
 72-82,0,0,0,1.96,0,2.94,0,0,124.67,0,0,0,0,7.85,0.98
 84-94,0,0,0,4.25,0,1.06,0,0,60.54,0,0,0,0,2.12,0
 96-106,0,0,0,6.56,0,2.19,1.09,1.09,90.71,0,1.09,0,1.09,6.56,0
108-118,0,0,0.77,3.06,0.77,6.13,0,2.3,77.36,0.77,0,0,0,2.3,0
120,0,0,0,7.84,0,1.96,0,0,78.39,0,0,0,1.96,3.92,1.96
