stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,pgc,slow_muscle,spinal_cord
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,11.49,0,0,0,0,4.93
 36-46,0,0,0,0,0,0,0,20.95,0.81,0.81,0,0,3.22
 48-58,0,0,0,0,0,0,0.57,18.94,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,13.74,1.96,0,0,0,0.98
 72-82,0,0,0.98,0.98,0.98,0,0,10.8,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,1.09,3.28,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,7.84,0,0,0,0,0
