stage,endocrine_pancreas,eye,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,18.06,0,0.82,17.24,0.82,0,4.1,0,0,0,2.46
 36-46,0,9.67,0,0,26.59,0,0,0.81,0,0.81,0,3.22
 48-58,0,14.35,0,0,11.48,0.57,0,1.15,0.57,0.57,0,3.44
 60-70,0,15.7,1.96,0,12.76,0,0,0,0,0,0,5.89
 72-82,0,28.47,0,0.98,18.65,0,0,1.96,0,0,0,0.98
 84-94,0,23.36,0,0,10.62,1.06,0,3.19,0,0,1.06,5.31
 96-106,0,13.11,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0.77,16.09,0.77,0,12.26,0,0,0,0,0,0,1.53
120,0,13.72,0,0,5.88,0,1.96,3.92,0,0,0,1.96
