stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,8,92,29,0,42,0,0,8,1,4,2,2,1,0,1,0,6,50,0,0,39,294,12,3,9,6,0,37,1,46,4,3,58,72,0,0,2,0,1
 24-34,0.82,0.82,1.64,16.42,4.1,0,92.76,0,0.82,6.57,0,0,0,1.64,0.82,1.64,0,0.82,0.82,40.22,0,0,21.34,458.04,2.46,4.1,4.93,0,0,13.95,0.82,0.82,0.82,0,1.64,69.77,0,0,9.03,0,0.82
 36-46,0,0,0,5.64,5.64,0,124.88,1.61,0.81,6.45,0,0,0,0,0.81,0.81,0.81,0,0,35.45,0,0,7.25,282.79,0.81,4.03,2.42,0,0,7.25,0,0,0,0.81,0,48.34,0,0,3.22,0,0.81
 48-58,0,0,0,5.16,0.57,0,123.94,0.57,1.15,12.62,2.87,0,0,0,0,1.72,0.57,0,0.57,25.25,0,0.57,2.3,195.67,1.72,0,0,0,0,1.72,0,0,0,0,0,22.95,0,0,1.72,0,0
 60-70,0,0,0,13.74,1.96,0,153.12,0.98,0.98,11.78,1.96,0,0,0,0.98,0.98,0.98,0.98,0,33.37,0.98,2.94,2.94,148.21,0.98,0.98,1.96,0,0,1.96,0,0,0,0.98,0,11.78,0,0,4.91,0,0
 72-82,0,0.98,0,3.93,5.89,0,56.94,0,0,8.83,2.94,0,0,0,0,0,0,0,0,27.49,0,0,2.94,88.35,0.98,0.98,0.98,0,0.98,1.96,0,0,0,0,0,2.94,0,0,0.98,0,0
 84-94,0,0,1.06,9.56,10.62,1.06,43.54,1.06,1.06,11.68,1.06,0,2.12,3.19,4.25,0,0,1.06,0,13.81,1.06,1.06,6.37,53.1,2.12,4.25,0,0,0,2.12,0,0,4.25,0,0,1.06,0,0,7.43,1.06,0
 96-106,0,0,0,0,18.58,1.09,24.04,1.09,0,6.56,3.28,0,0,2.19,1.09,1.09,0,1.09,1.09,15.3,1.09,2.19,5.46,26.23,0,0,2.19,0,0,3.28,0,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,3.06,19.92,0,26.81,0.77,0.77,6.13,0,0,0.77,2.3,2.3,0,0.77,1.53,0,7.66,0,1.53,3.83,40.6,0,0,1.53,0,0,3.83,0,0,1.53,0.77,0,0,0,0.77,2.3,0,0
120,0,0,0,3.92,39.2,0,56.83,0,3.92,19.6,1.96,0,1.96,5.88,0,0,0,5.88,0,17.64,0,1.96,3.92,88.19,1.96,0,3.92,0,0,5.88,0,0,0,0,0,3.92,1.96,0,7.84,0,0
