stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,14,3,5,0,0,0,2,1,0,0,0,0,0,0,1,0,8,0,0,9,76,2,3,0,3,0,0,15,2,0,12,27,0,0,0,0,0
 24-34,0,0,2.46,1.64,8.21,0,0,0.82,2.46,1.64,0.82,0.82,0,2.46,0,0,0,0,9.85,0,0,9.85,96.04,0.82,1.64,0.82,0,0,0.82,0.82,0,0.82,4.1,14.78,0,0,0,0,0
 36-46,0,0,0.81,0,10.47,0,0,0.81,3.22,0,0,0.81,0,0,0.81,0,0.81,0,22.56,0,0,7.25,102.32,0,4.03,0,0,0,1.61,0,0.81,0,0,32.23,0,0,1.61,0,0
 48-58,0,0,1.72,0.57,18.94,0.57,0,1.72,10.9,0,0,1.15,0,0.57,0.57,0.57,0,0.57,18.36,0,0.57,1.15,49.92,0,1.15,0.57,0,0.57,1.15,0,0.57,0.57,0,18.36,0,0,1.72,0,1.15
 60-70,0,0,1.96,0,24.54,0,0,5.89,11.78,0,0,0,0,0,0,0,0.98,0,21.59,0.98,0,1.96,46.13,0.98,1.96,0,0,0,3.93,0,0,0,0,11.78,0,0,0,0,0.98
 72-82,0.98,0,0.98,0.98,18.65,0,0.98,2.94,29.45,1.96,0.98,1.96,0,0,0,0.98,0,0,41.23,0,0.98,2.94,80.5,0,0,5.89,0,1.96,3.93,0,0,0,0,6.87,0.98,0.98,4.91,1.96,2.94
 84-94,1.06,0,4.25,2.12,33.99,0,1.06,2.12,11.68,0,1.06,1.06,2.12,1.06,1.06,0,0,1.06,25.49,0,0,6.37,46.73,1.06,2.12,2.12,0,0,23.36,0,2.12,0,0,4.25,2.12,1.06,0,0,2.12
 96-106,0,0,5.46,0,14.21,0,0,1.09,21.86,4.37,0,1.09,3.28,2.19,0,6.56,0,0,26.23,1.09,1.09,4.37,43.71,0,4.37,5.46,0,2.19,13.11,0,0,0,0,4.37,2.19,2.19,1.09,1.09,1.09
108-118,0.77,0.77,7.66,2.3,7.66,0.77,2.3,0,13.02,1.53,0,1.53,0,2.3,0.77,1.53,1.53,3.06,26.81,0,3.83,7.66,49.79,0.77,3.06,3.06,0,3.06,9.96,0,1.53,1.53,0,2.3,2.3,0.77,1.53,0,1.53
120,0,0,5.88,0,13.72,0,3.92,1.96,11.76,0,0,0,0,1.96,1.96,1.96,1.96,0,25.48,0,1.96,7.84,31.36,0,0,0,0,0,5.88,0,1.96,0,0,1.96,0,3.92,1.96,0,0
