stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,41.04,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,1.64,34.48,0,0,0,0,1.64,0,7.39,0,4.93,0,0.82
 36-46,0,0,0,72.51,0,0,2.42,0,0,0,0.81,0,0,0.81,5.64,0,0.81,62.84,0,0,0.81,0,4.83,0,8.06,0,4.03,0,0.81
 48-58,0.57,1.15,0,62.54,0,0,5.16,0,0,0,0,0.57,0,0.57,8.61,0,0.57,45.9,0.57,0.57,0,0,0.57,0,8.61,0,0.57,0,1.15
 60-70,0.98,0,0,69.69,0.98,0.98,4.91,0,1.96,0,0,0,0,0,6.87,0,2.94,46.13,0,0,0,0,1.96,0,8.83,0,2.94,0,5.89
 72-82,0,0.98,0.98,62.83,0,0,4.91,0,0.98,0,0.98,0,0,0,9.82,0,1.96,28.47,0,0,0,0,1.96,0.98,3.93,0,0.98,0,1.96
 84-94,3.19,3.19,0,69.03,0,0,1.06,1.06,0,0,3.19,0,0,0,6.37,1.06,0,11.68,1.06,0,0,0,5.31,0,0,1.06,0,0,0
 96-106,1.09,0,0,37.16,0,0,0,0,0,1.09,0,0,0,0,4.37,0,1.09,9.84,0,1.09,0,0,2.19,0,1.09,0,0,1.09,0
108-118,0.77,2.3,0,47.49,0,1.53,3.83,0,0,0,0,0,1.53,0,4.6,0.77,0,18.38,0,0,0,0.77,0.77,0,0.77,0.77,0.77,0,0
120,0,0,0,48.99,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,1.96,0,0,1.96,0
