stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,57.83,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,34.62,0,0,18.88,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,0,3,0,1,0,0,1,0,0,0,15,0,0,1,0,0,3,0,1,2,14,0,0
 24-34,0,0,0,1.64,0,1.64,0,1.64,0,0.82,4.93,0,0,1.64,36.12,0,0,0,0,0,0,0,0,0.82,7.39,0,0.82
 36-46,0,0,0,0,0,3.22,0,1.61,0,0,5.64,0,0,0.81,32.23,0,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,12.05,0,1.15,0,0,2.3,0,0,0.57,19.51,0,0.57,0,0,0,0,0,0,0,4.59,0,0.57
 60-70,0,0,0,0,0,17.67,0,0.98,0,0,0.98,0,0,0,22.58,0.98,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,12.76,0,2.94,0,0,4.91,0,1.96,0.98,7.85,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,8.5,0,1.06,0,0,5.31,0,0,0,7.43,0,0,0,0,2.12,0,0,0,0,2.12,0,2.12
 96-106,0,0,0,0,1.09,2.19,0,1.09,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,2.3,0,0,0,0,3.06,0,0,0,2.3,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,1.96,0,0,0,1.96,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0
