stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,23.8,0.82,0,0,9.03,0,0
 36-46,0,0,0,4.83,0,1.61,0,0,0,0,0,0,0.81,0,53.17,1.61,0,0,20.14,0,0
 48-58,0,0,0,1.15,0,2.87,0,0.57,0.57,0,0,0,0,0,70.58,1.72,0,0,6.31,0,0
 60-70,0,0,0,0,0,18.65,0,0,2.94,0,0,0,1.96,0,212.99,1.96,0,0.98,15.7,0,0
 72-82,0,0,0,0,0,15.71,0,0,5.89,0,0,0.98,1.96,0,162.96,0.98,0,0,12.76,0,0
 84-94,0,0,0,3.19,1.06,13.81,0,0,1.06,0,0,0,1.06,0,79.65,0,0,0,4.25,0,1.06
 96-106,0,0,1.09,2.19,0,9.84,0,0,2.19,0,0,0,0,1.09,66.66,0,0,0,0,0,0
108-118,0,0,0,3.83,0,6.89,0,0,2.3,0,0,0,2.3,0,78.13,0.77,0,0,2.3,0.77,0
120,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,1.96,41.16,0,0,0,1.96,0,0
