stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,52.71,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,18.4,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
 24-34,0,0,0.82,1.64,4.1,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0.81,0
 48-58,0,0,0,1.72,4.02,0,2.3,0,0,0,0,0,3.44,0,3.44,0,0,0,0,0.57,0
 60-70,0,0,0,5.89,3.93,0,4.91,0,0,0,0,0,6.87,0,1.96,0.98,0,0,0,0,0
 72-82,0,0,0.98,1.96,0,0,1.96,0,0,0,0,0,8.83,0,4.91,0.98,0,0,0,0,0
 84-94,0,0,1.06,1.06,3.19,0,2.12,1.06,0,0,1.06,0,4.25,0,3.19,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,1.09,0,2.19,1.09,0,0,0,1.09,4.37,0,1.09,1.09,0,0,1.09,0,0
108-118,0,0,1.53,0.77,1.53,0,2.3,0,0,0.77,0.77,0,5.36,0.77,5.36,0,0,0,0,0,0.77
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0
