stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,3.22,4.03,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0.57,0,2.3,2.87,0,0,1.15,0
 60-70,0,0,0,0.98,0,4.91,0,0,0,1.96,0,0,0.98,0,6.87,0,0,0,0.98,0
 72-82,0,0,0,0,0,3.93,0.98,0,0,0.98,0,0,0,0,3.93,2.94,0,0,0.98,0
 84-94,0,0,0,0,0,6.37,0,1.06,0,8.5,0,0,1.06,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,2.19,5.46,0,0,0,6.56,0,0,2.19,0,5.46,2.19,1.09,0,1.09,0
108-118,0,0,0,0,0,2.3,0,0.77,0,3.83,0,0,0,0,2.3,3.06,0,0,0,0
120,0,0,0,0,1.96,9.8,0,1.96,0,3.92,0,0,0,1.96,1.96,3.92,0,0,0,1.96
