stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,1,0,1,0,0,0,2,7,1,0,0,0,0,1,1,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,9.85,0,0.82,0,0,0.82,0,0,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0.81,0,16.92,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,5.16,0,0,0,0,0,0,2.3,1.72,12.05,0,0.57,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,12.76,0,0,0,0,0,0,3.93,0,15.7,0,0,0,0,0,0,0,0,4.91,0,0.98,1.96,0,0
 72-82,0,0,0,0,0,1.96,3.93,0,0.98,0,0,0.98,3.93,0,8.83,0.98,0,0,0,0.98,0,2.94,0,0,0,0,2.94,0.98,0
 84-94,0,0,1.06,0,1.06,2.12,0,0,0,0,0,1.06,1.06,1.06,5.31,0,0,0,0,0,0,7.43,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,1.09,0,4.37,2.19,0,0,1.09,0,2.19,1.09,0,6.56,0,0,1.09,0,2.19,0,20.76,0,0,0,0,5.46,0,1.09
108-118,0,0,0,0,0,3.06,2.3,0,0.77,0,0,0.77,4.6,0,3.83,0,0,0.77,0,1.53,0,16.85,0,0,0,0,3.83,0,0
120,0,0,0,1.96,0,7.84,0,1.96,1.96,0,1.96,1.96,1.96,0,3.92,0,0,0,0,1.96,0,9.8,0,0,0,0,0,0,0
