stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,40.24,0,0,0,0,0,0,0,0,0,0,0.98,9.82,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,3.93,1.96,0,35.34,0,0,0,183.57,0,0,0,0,0,0.98,0,14.72,0.98,0,0,48.1,0,0.98,0.98,0.98,0,0,0,0.98,0.98,0.98,1.96,1.96,0.98
 84-94,0,0,4.25,1.06,0,14.87,1.06,1.06,0,174.17,0,1.06,2.12,0,0,0,1.06,7.43,0,0,2.12,11.68,0,0,0,0,2.12,0,1.06,4.25,0,1.06,1.06,0,0
 96-106,0,0,20.76,5.46,0,51.36,0,6.56,1.09,308.18,1.09,0,5.46,1.09,1.09,1.09,5.46,24.04,1.09,0,4.37,61.2,0,2.19,3.28,0,14.21,0,0,3.28,0,0,3.28,2.19,0
108-118,0,0.77,3.83,3.83,0.77,28.34,0,0,0.77,288,0.77,0,1.53,0,1.53,0.77,0,26.04,0,2.3,1.53,60.51,0,0.77,0.77,0,7.66,0,0,3.06,1.53,0.77,1.53,0.77,0.77
120,0,0,7.84,3.92,0,37.24,0,1.96,5.88,356.68,0,0,1.96,1.96,0,1.96,3.92,25.48,0,0,3.92,64.67,5.88,0,0,0,13.72,0,0,7.84,0,1.96,3.92,0,0
