stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,11.49,0.82,0,0,0.82,0,0,1.64,0,1.64,3.28,0,0,0.82,0,3.28,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,5.64,9.67,0,0.81,7.25,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,5.74,0,0,1.15,0.57,0,0,0,0,3.44,4.02,0,1.15,2.87,0,0,1.15,0,0.57,0.57,0,0
 60-70,0,0,0,0,9.82,0,0,0.98,0.98,0,0,0,0,1.96,12.76,0,0,0.98,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0.98,0,10.8,0,0,1.96,3.93,0,0,0,0,2.94,11.78,0,1.96,5.89,0,1.96,1.96,0,0.98,0,0.98,0.98
 84-94,1.06,0,0,0,26.55,0,0,1.06,4.25,1.06,0,0,1.06,4.25,9.56,0,0,1.06,0,2.12,2.12,0,6.37,1.06,0,1.06
 96-106,0,0,0,0,50.27,0,0,0,15.3,3.28,1.09,1.09,0,9.84,12.02,1.09,0,4.37,1.09,4.37,4.37,0,3.28,0,0,3.28
108-118,0,0,0.77,0,44.43,0,0.77,0.77,14.55,1.53,0,0,0.77,3.83,12.26,0,0,7.66,0,6.13,5.36,0,4.6,0,0,0.77
120,0,0,0,0,41.16,0,0,0,15.68,0,0,0,1.96,3.92,15.68,0,0,7.84,0,0,0,0,5.88,0,0,0
