stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,65.89,1172.84,0,0,0,0,0,0,52.71,0
  5-6,55.17,662,0,0,6.13,24.52,12.26,0,18.39,0
  7-9,23.66,15.77,23.66,21.03,39.43,254.99,18.4,118.29,0,2.63
 10-12,0,0,6.29,12.59,3.15,75.53,12.59,31.47,0,0
