stage,blastomeres,epidermis,glial,gut,heart,immune,lateral.line,liver,mucous,muscle,neural,paraxial.mesoderm,periderm,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,7.85,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,3.93,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,7.43,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,5.46,0,1.09,2.19,1.09,0,0,2.19,0
108-118,0,2.3,0.77,0,0,6.89,1.53,0,0,0,0.77,0,1.53,0
120,0,0,0,1.96,0,13.72,0,0,1.96,0,0,0,0,0
