stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,3,0,2,0,2,0,0,0,4,2,0,25,0,0,19,0,4,2,0,5,12,7,0,0,1,0,2,1,1,1,3,10,0,0,5,0,0
 24-34,0,0,0,11.49,0,0,9.03,0,3.28,0.82,0.82,0,1.64,0.82,10.67,87.83,0,4.1,13.95,4.93,11.49,13.13,0,14.78,28.73,3.28,0.82,3.28,0,0.82,13.13,0,2.46,0,0,8.21,0,0,17.24,0,6.57
 36-46,0,0,0,4.03,0,0,8.86,0,3.22,2.42,7.25,0,1.61,0,33.84,37.06,1.61,7.25,3.22,9.67,13.7,8.06,0,3.22,54.79,2.42,5.64,3.22,0,0,8.86,0,0,0,0,4.83,0,0.81,15.31,0,7.25
 48-58,0,0,0.57,8.61,1.15,0,24.1,0,1.72,5.74,40.17,0,13.77,0.57,21.8,16.64,2.3,14.35,0.57,7.46,42.46,9.18,0.57,8.03,55.66,1.15,5.16,8.03,0,0,16.64,0,0.57,0,0,9.18,0,0.57,16.07,0,11.48
 60-70,0,1.96,0,18.65,3.93,0,80.48,0.98,9.82,2.94,91.28,8.83,5.89,0.98,42.21,23.56,8.83,22.58,4.91,3.93,135.45,15.7,0.98,9.82,97.17,1.96,10.8,19.63,0,1.96,107.97,0,1.96,0,0,9.82,0.98,4.91,22.58,2.94,5.89
 72-82,0,5.89,0,70.68,26.5,0.98,186.52,1.96,19.63,7.85,155.1,52.03,2.94,3.93,53.01,64.79,10.8,47.12,10.8,7.85,325.91,39.27,3.93,19.63,167.86,2.94,31.41,58.9,0,2.94,697.96,0.98,14.72,0,0,11.78,11.78,7.85,55.95,8.83,5.89
 84-94,0,4.25,0,144.44,41.42,0,155.06,2.12,28.68,11.68,126.38,106.2,4.25,3.19,83.9,126.38,23.36,77.53,21.24,10.62,209.22,37.17,8.5,21.24,99.83,4.25,16.99,56.29,0,3.19,1667.4,0,29.74,2.12,0,8.5,39.3,9.56,60.54,10.62,10.62
 96-106,0,3.28,0,250.26,36.06,3.28,162.83,0,49.18,8.74,109.28,151.91,2.19,7.65,100.54,169.39,17.49,104.91,72.13,9.84,273.21,67.76,10.93,21.86,157.37,6.56,49.18,63.39,0,8.74,2622.83,0,45.9,2.19,0,6.56,60.11,7.65,88.52,14.21,7.65
108-118,0,3.83,0.77,206.81,39.06,6.89,131.75,0.77,40.6,5.36,107.23,152.43,0,0,64.34,127.92,28.34,65.11,118.72,11.49,229.02,45.96,7.66,12.26,135.58,6.89,32.94,52.09,0,4.6,1286.05,0,40.6,0.77,0,3.83,49.02,3.83,52.09,11.49,19.92
120,0,3.92,0,158.74,41.16,0,66.63,3.92,39.2,9.8,41.16,78.39,1.96,0,97.99,58.79,15.68,23.52,47.03,1.96,178.34,35.28,9.8,23.52,88.19,11.76,19.6,21.56,0,3.92,844.67,0,23.52,0,0,3.92,17.64,1.96,50.95,1.96,3.92
