stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,32,0,2,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,2,0,41,0,0
 24-34,0,0,2.46,4.1,0,0.82,0,0,0,0,0,4.93,42.68,0,0,0,0,3.28,0.82,0,0.82,7.39,0,0,0,0,0,1.64,0,0,0,0,0,1.64,0,73.88,0,0
 36-46,0,0,2.42,1.61,0,3.22,0,0,0.81,0,0,0.81,53.17,0,0,0,0,1.61,0.81,0,0.81,6.45,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,42.7,0,0
 48-58,0,0,0.57,1.15,0,8.61,0,0.57,0,0,0,1.72,61.97,0,0,0,0,2.3,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0.57,0,36.72,0,0.57
 60-70,0,0,0,0.98,0,210.05,0,0,7.85,0,0,2.94,60.85,0,0,0,0,3.93,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0.98,0,33.37,0,0
 72-82,0,0,3.93,0,0,730.36,0,0.98,15.71,1.96,0,1.96,119.76,0,0,0.98,0,6.87,0,0,0,18.65,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,56.94,0,0.98
 84-94,0,0,7.43,0,0,743.43,0,0,6.37,1.06,0,2.12,149.75,0,0,0,1.06,6.37,0,0,1.06,10.62,3.19,0,0,0,1.06,2.12,0,0,0,0,0,0,0,53.1,0,0
 96-106,0,0,6.56,5.46,0,554.07,1.09,0,10.93,0,0,4.37,253.54,1.09,0,0,0,12.02,0,1.09,0,18.58,0,0,0,0,1.09,3.28,0,0,1.09,1.09,0,0,0,54.64,1.09,1.09
108-118,0,0,2.3,0,0.77,424.34,0,0.77,5.36,0,0,0,179.24,0.77,0.77,0.77,0.77,9.96,0,0,0.77,18.38,0,0,0.77,0,0,2.3,0.77,0,0,0,0,0,0.77,48.26,0,0
120,0,0,3.92,5.88,0,470.35,0,0,7.84,0,0,0,168.54,0,0,0,0,3.92,0,0,5.88,17.64,0,0,0,0,0,0,0,0,1.96,0,0,0,0,25.48,0,0
