stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,26.36,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7,0,1,1,0,0,2,1,1,1,5,0,0,0
 24-34,0,0,0,0,0,4.1,0,0.82,0,0,0,0,0,0,0,2.46,0,0,33.66,0,0,0,0,0,0,1.64,0,0,10.67,0,0,0.82
 36-46,0,0,0,0,2.42,12.89,0,2.42,0,0,0,0.81,0,0,0,4.03,0,0,61.23,0,2.42,0,0,0,0,1.61,0,0,20.14,0,0,3.22
 48-58,0,0,0,0.57,5.16,26.97,0,3.44,0.57,0,0,5.16,0,0,0,4.02,0,0,45.33,0,1.15,0,0,0,0,0.57,0,0,10.33,0,0,5.16
 60-70,0,0,0,0,19.63,33.37,0,0.98,0.98,0,0.98,19.63,0,0,0,2.94,0.98,0,60.85,0,1.96,0.98,0,0.98,0,0,0,0,12.76,0,0,1.96
 72-82,0,0,0,0.98,53.01,60.86,0,4.91,0,0,0,8.83,0.98,0,0,1.96,0.98,0,70.68,0,1.96,0.98,0,0.98,0,0,0,0,5.89,3.93,0,1.96
 84-94,0,0,0,0,38.23,43.54,0,3.19,0,0,0,20.18,1.06,0,1.06,1.06,0,0,21.24,0,2.12,1.06,0,0,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,1.09,34.97,43.71,0,3.28,1.09,0,0,14.21,0,1.09,0,2.19,0,0,24.04,0,1.09,1.09,0,0,0,0,0,0,3.28,6.56,0,0
108-118,0,0,0,0,14.55,34.47,0,1.53,0.77,0,0,25.28,0,0,0,1.53,0,0,29.87,0,3.06,0,0,0,0,0,0,0,1.53,4.6,0.77,0.77
120,0,0,0,0,19.6,33.32,1.96,0,0,0,0,5.88,0,0,0,1.96,0,0,27.44,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
